Batch_ID,Raw_CaO,Raw_SiO2,Raw_Al2O3,Raw_Fe2O3,Raw_MgO,Raw_SO3,LOI
BATCH_0386,43.13,14.39,3.42,2.16,1.49,0.39,36.47
BATCH_0387,41.96,14.82,3.72,2.12,1.05,0.29,35.46
BATCH_0388,42.63,14.57,3.12,2.16,1.21,0.3,35.78
BATCH_0389,44.07,14.36,3.33,2.18,1.45,0.36,35.9
BATCH_0390,43.07,13.41,3.46,2.12,1.44,0.32,35.67
BATCH_0391,43.19,13.23,2.87,2.35,1.62,0.51,34.54
BATCH_0392,42.61,13.49,3.06,2.17,1.49,0.1,35.15
BATCH_0393,42.82,13.82,3.15,1.95,1.42,0.42,35.08
BATCH_0394,43.22,14.53,3.02,2.18,1.57,0.31,35.49
BATCH_0395,43.44,14.34,2.82,2.04,1.28,0.29,34.92
BATCH_0396,43.72,14.04,3.48,2.18,1.34,0.32,36.02
BATCH_0397,43.71,14.16,3.62,2.18,1.56,0.29,35.56
BATCH_0398,43.18,13.65,3.07,2.1,1.17,0.5,34.52
BATCH_0399,43.34,13.38,3.26,1.76,1.56,0.4,35.44
BATCH_0400,42.25,13.17,2.93,2.25,1.28,0.27,35.08
BATCH_0401,44.36,13.13,3.61,2.09,1.41,0.49,35.83
BATCH_0402,42.74,15.07,2.37,2.06,1.75,0.41,34.86
BATCH_0403,43.08,12.98,3.27,2.46,1.08,0.3,35.75
BATCH_0404,43.28,13.54,3.04,1.88,1.31,0.19,36.05
BATCH_0405,43.39,13.52,2.52,2.23,1.63,0.25,36.17
BATCH_0406,42.88,13.07,3.55,1.98,1.18,0.4,34.77
BATCH_0407,44.0,14.43,3.31,2.05,1.48,0.48,34.91
BATCH_0408,43.48,13.36,2.93,1.97,1.32,0.4,35.89
BATCH_0409,43.3,12.88,3.39,2.12,1.51,0.29,35.0
BATCH_0410,41.34,13.85,3.07,2.1,1.59,0.34,35.66
BATCH_0411,43.4,14.8,3.37,2.23,1.54,0.31,34.96
BATCH_0412,43.68,13.32,3.14,2.41,1.6,0.49,35.04
BATCH_0413,42.18,14.33,3.5,2.23,1.36,0.45,34.52
BATCH_0414,42.93,13.06,3.15,2.39,1.43,0.4,35.18
BATCH_0415,43.29,12.76,3.43,2.13,1.19,0.58,34.53
BATCH_0416,41.93,13.02,3.59,2.24,1.19,0.46,35.42
BATCH_0417,42.63,14.01,3.53,2.04,1.64,0.22,36.22
BATCH_0418,41.99,13.61,3.24,1.73,1.23,0.33,36.11
BATCH_0419,42.73,14.1,3.51,1.9,1.6,0.49,36.28
BATCH_0420,42.95,13.58,3.18,2.01,1.53,0.36,36.38
BATCH_0421,43.28,12.75,3.38,1.53,1.19,0.56,35.16
BATCH_0422,42.67,14.0,3.03,2.18,1.14,0.38,35.63
BATCH_0423,43.01,14.59,3.1,1.7,1.36,0.42,34.57
BATCH_0424,43.01,14.13,3.1,2.1,1.35,0.35,35.96
BATCH_0425,42.0,14.16,3.47,2.08,1.54,0.15,36.03
BATCH_0426,44.08,13.81,2.78,2.3,1.35,0.26,36.0
BATCH_0427,43.47,13.99,3.6,1.75,1.21,0.48,35.24
BATCH_0428,43.41,13.3,3.27,2.03,1.46,0.46,34.84
BATCH_0429,44.68,12.99,3.4,2.23,1.63,0.41,36.35
BATCH_0430,41.57,13.23,2.26,2.07,1.17,0.41,35.28
BATCH_0431,43.15,13.84,3.3,1.91,1.35,0.44,36.2
BATCH_0432,43.27,13.63,3.25,1.9,1.42,0.42,34.83
BATCH_0433,43.98,13.56,3.63,2.08,1.69,0.44,35.53
BATCH_0434,44.24,14.5,3.33,2.13,0.92,0.33,35.5
BATCH_0435,43.04,13.24,3.27,1.94,1.41,0.28,36.35
BATCH_0436,41.82,13.73,2.93,2.22,1.08,0.43,35.56
BATCH_0437,41.57,13.2,2.87,2.14,1.51,0.43,35.0
BATCH_0438,42.78,14.47,3.68,2.41,1.55,0.37,35.77
BATCH_0439,42.92,13.64,3.83,2.22,1.27,0.41,36.29
BATCH_0440,43.76,14.18,2.96,1.9,1.3,0.42,34.81
BATCH_0441,41.95,13.26,2.27,2.11,1.66,0.3,36.32
BATCH_0442,42.83,13.17,2.64,1.89,1.42,0.54,35.55
BATCH_0443,43.35,14.15,2.86,1.94,1.46,0.3,36.04
BATCH_0444,42.63,12.66,3.17,2.54,1.56,0.62,35.61
BATCH_0445,43.32,13.45,2.65,1.94,1.43,0.31,36.41
BATCH_0446,44.83,14.78,3.22,2.43,1.37,0.38,35.3
BATCH_0447,43.19,13.96,3.62,2.61,1.29,0.38,35.32
BATCH_0448,42.69,13.44,3.4,2.15,1.14,0.36,35.45
BATCH_0449,43.94,12.9,3.5,2.19,1.11,0.41,35.22
BATCH_0450,43.81,13.78,3.27,2.33,1.53,0.38,36.29
BATCH_0451,42.62,13.43,3.33,2.16,1.16,0.44,36.32
BATCH_0452,42.99,13.01,3.26,1.93,1.53,0.62,35.24
BATCH_0453,42.03,13.69,2.78,2.38,1.49,0.46,35.24
BATCH_0454,42.91,13.78,3.77,1.84,1.8,0.48,35.66
BATCH_0455,42.96,12.48,2.99,2.59,1.28,0.58,35.68
BATCH_0456,42.75,13.19,2.68,1.89,1.34,0.42,34.76
BATCH_0457,42.99,12.13,3.32,1.95,1.31,0.4,34.9
BATCH_0458,42.84,14.23,3.48,2.14,0.93,0.4,35.44
BATCH_0459,43.35,14.78,3.02,2.06,1.65,0.58,34.67
BATCH_0460,43.11,13.68,3.07,2.31,1.19,0.43,35.89
BATCH_0461,42.18,14.15,3.94,2.08,1.59,0.3,34.51
BATCH_0462,42.2,13.1,3.58,1.87,1.5,0.34,35.82
BATCH_0463,44.28,14.3,3.41,2.08,1.34,0.57,35.28
BATCH_0464,43.39,14.07,3.33,1.78,1.18,0.41,35.22
BATCH_0465,40.57,13.11,2.86,2.14,1.65,0.39,35.91
BATCH_0466,43.1,13.53,2.85,2.03,1.62,0.46,35.93
BATCH_0467,42.99,14.24,3.18,2.07,0.91,0.48,35.04
BATCH_0468,43.11,13.64,2.61,2.04,1.58,0.45,36.09
BATCH_0469,44.87,12.74,3.69,2.14,1.72,0.36,34.56
BATCH_0470,43.77,13.62,3.4,1.96,0.98,0.36,34.82
BATCH_0471,42.56,13.83,3.18,1.81,1.44,0.41,35.16
BATCH_0472,43.66,13.05,3.09,1.98,1.3,0.49,34.81
BATCH_0473,42.82,12.86,2.97,2.47,1.26,0.39,35.82
BATCH_0474,44.15,13.85,2.67,2.04,1.49,0.37,35.52
BATCH_0475,43.94,13.65,2.92,1.91,1.58,0.25,34.55
BATCH_0476,42.41,13.31,3.13,2.16,1.37,0.44,36.02
BATCH_0477,43.59,13.35,2.26,2.26,1.5,0.54,35.6
BATCH_0478,42.95,14.43,2.85,2.03,1.59,0.37,34.86
BATCH_0479,42.0,13.4,3.03,2.42,1.55,0.34,36.02
BATCH_0480,43.18,13.86,3.55,2.42,1.26,0.48,35.46
BATCH_0481,42.35,13.65,2.98,2.07,1.36,0.31,35.51
BATCH_0482,43.17,14.04,3.21,2.37,1.55,0.4,35.75
BATCH_0483,43.35,13.78,3.15,1.92,1.52,0.37,34.55
BATCH_0484,44.03,13.49,2.72,2.4,1.81,0.55,35.95
BATCH_0485,41.83,13.4,3.3,2.25,1.51,0.2,34.61
BATCH_0486,44.58,14.05,3.75,2.21,1.61,0.37,36.21
BATCH_0487,43.95,14.16,3.49,2.42,1.62,0.42,34.86
BATCH_0488,42.98,13.51,3.05,2.18,1.53,0.42,35.39
BATCH_0489,42.94,14.22,3.41,2.02,1.41,0.54,35.45
BATCH_0490,43.05,13.76,2.69,2.18,1.38,0.56,36.44
BATCH_0491,42.95,13.35,3.13,2.09,1.3,0.51,35.04
BATCH_0492,42.39,13.55,3.29,2.06,1.59,0.25,34.54
BATCH_0493,44.52,14.03,3.16,2.15,1.31,0.2,35.06
BATCH_0494,43.4,13.51,2.95,1.88,1.95,0.37,35.31
BATCH_0495,42.29,13.09,2.66,1.98,1.42,0.3,35.93
BATCH_0496,42.52,13.37,3.24,1.89,1.48,0.48,35.77
BATCH_0497,42.21,13.76,2.84,2.02,1.13,0.25,34.95
BATCH_0498,42.68,14.32,3.35,2.06,1.68,0.38,36.08
BATCH_0499,43.54,14.73,3.23,1.89,1.64,0.34,36.26
BATCH_0500,42.67,14.0,2.96,1.89,0.99,0.52,34.93
BATCH_0501,40.82,13.3,2.81,2.19,1.47,0.44,36.06
BATCH_0502,43.17,13.26,3.37,2.02,1.16,0.31,35.33
BATCH_0503,44.13,13.72,3.12,2.01,1.33,0.42,35.6
BATCH_0504,44.49,12.76,2.96,1.99,1.32,0.47,34.71
BATCH_0505,43.88,13.6,3.08,2.2,1.27,0.42,36.42
BATCH_0506,43.44,14.75,3.24,2.31,1.52,0.36,35.18
BATCH_0507,44.26,13.0,3.44,2.27,1.68,0.4,35.06
BATCH_0508,44.08,13.65,3.26,1.83,1.77,0.52,35.33
BATCH_0509,42.29,14.83,3.01,2.29,1.49,0.46,35.99
BATCH_0510,43.52,13.84,3.37,2.05,1.31,0.6,35.41
BATCH_0511,43.02,13.84,3.07,1.79,1.17,0.4,35.45
BATCH_0512,41.35,14.28,3.46,2.04,1.65,0.51,36.01
BATCH_0513,44.98,12.96,2.69,2.26,1.67,0.38,35.52
BATCH_0514,42.42,15.02,3.8,2.08,1.34,0.33,36.47
BATCH_0515,42.93,14.22,3.15,2.06,1.41,0.41,35.45
BATCH_0516,43.1,13.57,2.92,2.15,1.44,0.44,35.24
BATCH_0517,42.78,13.66,3.19,2.06,1.43,0.4,36.03
BATCH_0518,43.73,13.8,3.36,1.94,1.71,0.5,35.05
BATCH_0519,43.61,13.06,3.16,2.17,1.69,0.4,36.07
BATCH_0520,41.89,13.91,3.37,2.23,1.38,0.28,35.15
BATCH_0521,43.63,13.65,3.27,2.46,1.34,0.46,35.24
BATCH_0522,42.79,14.44,2.87,2.16,1.09,0.42,36.24
BATCH_0523,44.98,13.57,3.15,2.35,1.09,0.46,34.8
BATCH_0524,43.3,13.8,2.87,2.32,1.46,0.44,34.51
BATCH_0525,44.61,14.28,2.85,2.3,1.64,0.29,35.6
BATCH_0526,42.43,13.57,3.37,2.51,1.52,0.45,34.91
BATCH_0527,43.17,13.95,3.03,2.13,1.49,0.5,35.44
BATCH_0528,42.87,13.67,3.16,1.94,1.31,0.37,35.94
BATCH_0529,44.46,14.06,3.44,1.87,1.35,0.48,36.26
BATCH_0530,43.82,14.13,2.99,1.93,1.53,0.33,34.7
BATCH_0531,44.26,13.55,3.86,1.89,1.34,0.45,35.44
BATCH_0532,42.76,13.79,3.22,1.95,1.22,0.47,35.98
BATCH_0533,42.69,13.29,2.66,2.02,1.55,0.31,35.29
BATCH_0534,42.66,13.87,3.56,1.95,1.6,0.32,34.71
BATCH_0535,43.3,14.84,3.38,2.27,1.19,0.43,35.68
BATCH_0536,43.76,14.99,3.24,2.06,1.35,0.41,34.84
BATCH_0537,41.79,13.69,3.42,2.13,1.56,0.52,35.02
BATCH_0538,44.03,13.61,3.0,1.88,1.47,0.3,36.17
BATCH_0539,42.08,13.61,3.21,2.12,1.8,0.38,35.44
BATCH_0540,42.6,13.85,3.12,2.12,1.49,0.44,35.37
BATCH_0541,43.78,13.9,3.38,1.96,1.39,0.38,34.79
BATCH_0542,42.15,13.71,2.68,2.02,1.41,0.31,35.64
BATCH_0543,43.68,12.32,3.0,2.33,1.47,0.28,35.54
BATCH_0544,42.05,13.15,3.27,2.52,1.23,0.37,35.48
BATCH_0545,41.0,13.8,3.03,2.13,1.62,0.4,36.49
BATCH_0546,44.35,14.35,3.0,2.12,1.29,0.32,35.18
BATCH_0547,42.93,14.25,3.07,1.8,1.55,0.54,36.45
BATCH_0548,43.24,14.34,3.38,2.07,1.55,0.44,34.55
BATCH_0549,41.1,14.46,3.22,2.17,1.51,0.59,36.19
BATCH_0550,44.9,13.22,3.27,1.85,1.4,0.44,35.78
BATCH_0551,42.37,14.81,3.13,2.16,1.53,0.41,36.33
BATCH_0552,42.79,12.6,3.0,1.91,1.52,0.33,35.21
BATCH_0553,43.74,13.12,2.92,2.12,1.75,0.46,36.42
BATCH_0554,43.05,13.71,3.9,2.29,1.22,0.41,36.02
BATCH_0555,41.68,13.4,2.93,2.09,1.4,0.26,36.01
BATCH_0556,44.15,14.04,3.2,2.1,1.21,0.45,36.33
BATCH_0557,42.67,14.0,3.57,2.05,1.61,0.49,35.32
BATCH_0558,42.46,14.5,3.57,2.29,1.5,0.41,35.19
BATCH_0559,41.76,13.36,3.26,1.79,1.43,0.3,35.62
BATCH_0560,43.64,13.12,2.91,2.1,1.38,0.26,35.42
BATCH_0561,43.29,12.62,3.13,2.31,1.53,0.44,34.87
BATCH_0562,42.96,14.07,3.31,2.28,1.32,0.47,35.5
BATCH_0563,42.5,15.13,3.47,2.13,1.42,0.43,34.54
BATCH_0564,42.22,15.48,3.05,1.66,1.23,0.27,36.28
BATCH_0565,42.68,14.48,2.98,2.27,1.26,0.37,36.24
BATCH_0566,43.54,13.64,3.58,1.72,1.32,0.44,36.01
BATCH_0567,41.87,14.14,3.09,1.69,1.26,0.58,34.81
BATCH_0568,42.43,14.67,3.63,1.92,1.53,0.28,35.39
BATCH_0569,42.66,12.86,3.04,2.03,1.44,0.51,35.01
BATCH_0570,44.16,13.75,3.41,1.88,1.68,0.61,35.11
BATCH_0571,41.29,14.55,2.76,2.02,1.52,0.39,35.7
BATCH_0572,42.81,12.91,2.51,1.88,1.09,0.43,36.03
BATCH_0573,42.77,13.98,3.11,2.09,1.4,0.35,35.48
BATCH_0574,40.48,14.75,3.44,2.5,1.65,0.56,35.88
BATCH_0575,42.93,14.97,3.15,2.31,1.51,0.37,35.72
BATCH_0576,43.46,13.83,3.48,1.97,1.28,0.4,34.86
BATCH_0577,43.33,13.22,3.08,2.37,1.48,0.35,35.45
BATCH_0578,42.05,13.13,2.95,2.22,1.32,0.38,34.92
BATCH_0579,42.79,14.08,3.11,2.1,1.26,0.4,35.16
BATCH_0580,43.8,14.39,2.8,1.92,1.23,0.33,35.64
BATCH_0581,42.96,13.22,2.92,1.9,1.44,0.37,36.1
BATCH_0582,43.17,13.48,2.89,2.04,1.73,0.26,34.65
BATCH_0583,43.42,13.83,3.12,1.99,1.41,0.51,34.78
BATCH_0584,43.96,13.99,3.0,2.07,0.97,0.42,35.12
BATCH_0585,43.28,14.25,3.44,2.43,1.33,0.35,35.08
BATCH_0586,43.76,14.28,3.17,2.26,1.28,0.36,35.99
BATCH_0587,42.76,13.64,3.0,1.95,1.62,0.15,34.8
BATCH_0588,42.66,14.14,2.7,2.3,1.22,0.3,36.29
BATCH_0589,43.43,13.39,3.64,2.09,1.36,0.47,34.65
BATCH_0590,44.34,13.6,3.11,2.19,1.69,0.44,35.2
BATCH_0591,43.17,14.52,3.09,2.34,1.4,0.45,34.95
BATCH_0592,43.67,13.47,3.14,1.83,1.23,0.5,35.63
BATCH_0593,42.39,14.41,3.5,1.96,1.51,0.22,35.9
BATCH_0594,44.27,14.34,2.99,2.17,1.14,0.49,35.21
BATCH_0595,44.23,11.94,3.63,2.34,1.25,0.36,35.57
BATCH_0596,43.89,13.57,3.06,1.89,1.6,0.45,35.45
BATCH_0597,42.15,14.91,3.19,1.96,1.56,0.49,35.09
BATCH_0598,43.97,12.14,4.01,2.4,1.35,0.4,35.48
BATCH_0599,42.79,14.72,3.18,2.33,1.48,0.44,36.02
BATCH_0600,42.7,13.46,3.19,1.83,1.46,0.54,35.22
BATCH_0601,42.61,13.94,3.17,1.83,1.21,0.44,34.81
BATCH_0602,41.61,13.06,2.96,2.01,1.34,0.36,35.66
BATCH_0603,42.55,13.64,3.29,2.09,1.56,0.36,35.04
BATCH_0604,43.32,14.21,2.96,2.01,1.47,0.43,35.85
BATCH_0605,44.3,14.07,3.73,1.7,1.49,0.53,34.58
BATCH_0606,42.42,13.86,3.13,2.23,1.31,0.57,34.58
BATCH_0607,43.11,13.03,3.18,2.16,1.16,0.35,36.27
BATCH_0608,42.45,13.39,3.24,1.94,1.39,0.38,35.55
BATCH_0609,42.74,13.82,3.5,2.08,1.52,0.38,36.0
BATCH_0610,42.96,14.01,2.55,2.09,1.06,0.28,36.38
BATCH_0611,42.1,14.03,3.01,1.77,1.47,0.18,35.16
BATCH_0612,42.98,13.87,3.59,2.08,1.17,0.38,34.58
BATCH_0613,44.47,13.55,3.31,1.85,1.45,0.36,35.43
BATCH_0614,44.27,14.44,3.5,2.12,1.27,0.26,36.18
BATCH_0615,42.63,14.14,3.45,2.42,1.28,0.32,36.26
BATCH_0616,43.4,12.91,3.64,1.91,1.65,0.39,35.59
BATCH_0617,42.72,14.08,3.05,2.39,1.41,0.51,35.5
BATCH_0618,43.71,13.1,3.9,2.36,1.4,0.49,35.27
BATCH_0619,43.48,13.69,3.28,2.32,1.55,0.4,35.21
BATCH_0620,42.54,13.42,3.95,2.46,1.7,0.37,36.48
BATCH_0621,42.4,14.34,3.2,2.03,1.11,0.61,36.17
BATCH_0622,44.59,13.42,3.23,1.95,1.57,0.35,34.87
BATCH_0623,43.22,13.14,3.49,2.39,1.36,0.54,35.29
BATCH_0624,43.74,14.18,2.7,2.41,1.5,0.47,35.66
BATCH_0625,43.29,13.64,2.9,2.05,1.14,0.37,35.96
BATCH_0626,42.5,13.73,3.1,2.49,1.15,0.41,36.28
BATCH_0627,43.45,13.58,3.6,1.94,1.74,0.41,35.28
BATCH_0628,43.72,14.08,3.59,1.97,1.11,0.39,36.39
BATCH_0629,43.53,14.47,3.22,1.61,1.49,0.43,36.28
BATCH_0630,42.47,13.05,3.11,2.41,1.53,0.47,35.98
BATCH_0631,42.56,13.3,3.25,2.67,1.62,0.39,35.63
BATCH_0632,43.62,13.89,3.57,2.19,1.29,0.17,35.23
BATCH_0633,43.14,13.83,3.18,2.3,1.28,0.44,36.24
BATCH_0634,43.04,13.37,3.09,2.51,1.22,0.37,35.18
BATCH_0635,44.92,14.2,3.19,2.01,1.62,0.42,35.11
BATCH_0636,42.65,13.3,3.05,2.54,1.32,0.49,35.72
BATCH_0637,41.86,14.17,3.0,1.71,0.89,0.55,34.99
BATCH_0638,42.46,13.83,3.22,2.41,1.48,0.13,35.08
BATCH_0639,44.37,13.54,3.04,2.18,1.63,0.41,35.48
BATCH_0640,43.11,13.23,3.55,1.72,1.33,0.4,35.43
BATCH_0641,43.83,14.57,3.35,1.99,1.68,0.52,34.89
BATCH_0642,44.76,13.16,3.3,2.08,1.38,0.48,35.47
BATCH_0643,41.8,13.73,3.66,1.86,1.44,0.33,35.75
BATCH_0644,44.71,14.24,3.58,2.12,1.24,0.39,36.37
BATCH_0645,43.67,14.65,3.15,2.24,1.54,0.37,35.26
BATCH_0646,42.9,14.23,3.25,2.2,1.25,0.32,34.9
BATCH_0647,43.39,13.67,3.45,1.92,1.2,0.28,35.75
BATCH_0648,43.83,13.23,3.23,2.24,1.27,0.42,35.87
BATCH_0649,42.82,12.55,3.02,1.73,1.58,0.2,35.42
BATCH_0650,43.84,14.1,3.0,2.13,1.23,0.4,35.76
BATCH_0651,41.66,12.94,3.09,2.35,1.2,0.54,35.61
BATCH_0652,43.06,13.47,3.89,1.95,1.6,0.36,34.67
BATCH_0653,41.82,14.85,3.14,2.08,1.57,0.49,35.57
BATCH_0654,42.4,13.34,2.59,2.13,1.37,0.28,34.93
BATCH_0655,42.32,13.88,2.92,1.97,1.22,0.38,34.91
BATCH_0656,44.37,14.04,2.95,1.96,1.54,0.5,36.43
BATCH_0657,42.95,14.83,3.5,1.78,1.37,0.31,36.11
BATCH_0658,43.64,14.08,3.08,2.03,1.25,0.48,36.38
BATCH_0659,43.28,13.58,3.24,1.99,1.2,0.46,35.59
BATCH_0660,43.36,12.7,3.34,2.25,1.38,0.64,34.67
BATCH_0661,43.17,13.41,2.98,2.4,1.54,0.32,35.3
BATCH_0662,42.71,13.9,3.59,2.07,1.21,0.25,36.06
BATCH_0663,43.04,13.64,3.4,2.15,1.34,0.41,35.24
BATCH_0664,43.99,13.62,2.66,2.09,1.09,0.62,34.92
BATCH_0665,43.48,14.03,2.96,2.13,1.21,0.29,34.63
BATCH_0666,43.83,13.87,2.87,1.81,1.42,0.35,36.28
BATCH_0667,43.24,13.94,3.33,1.78,1.14,0.28,34.67
BATCH_0668,43.2,13.47,3.28,2.32,1.26,0.25,36.37
BATCH_0669,41.82,13.44,3.58,2.16,1.47,0.42,36.17
BATCH_0670,43.68,13.59,2.7,2.01,1.19,0.43,34.85
BATCH_0671,43.28,13.39,3.31,2.38,1.57,0.28,35.58
BATCH_0672,43.97,14.02,3.29,2.26,0.99,0.43,34.82
BATCH_0673,43.07,12.89,3.21,1.96,1.31,0.39,36.45
BATCH_0674,43.69,13.58,2.76,2.06,1.35,0.5,35.99
BATCH_0675,43.77,14.09,2.99,2.35,1.39,0.38,35.75
BATCH_0676,43.78,14.1,3.51,2.14,1.5,0.42,35.0
BATCH_0677,42.9,12.58,3.1,1.88,1.26,0.28,36.06
BATCH_0678,43.34,13.85,3.17,1.81,1.79,0.31,35.38
BATCH_0679,41.58,13.47,3.18,2.08,1.44,0.26,35.67
BATCH_0680,41.91,15.11,2.85,2.14,1.05,0.36,36.38
BATCH_0681,43.34,13.48,3.42,2.24,1.25,0.47,35.92
BATCH_0682,43.38,12.58,2.91,2.3,1.49,0.57,35.22
BATCH_0683,42.43,13.69,3.06,2.44,1.15,0.44,35.18
BATCH_0684,44.05,13.4,3.15,2.37,1.5,0.29,35.77
BATCH_0685,44.28,12.94,2.71,2.24,1.32,0.3,35.27
BATCH_0686,43.49,13.89,3.35,1.87,1.44,0.41,34.97
BATCH_0687,43.22,14.15,2.66,2.3,1.32,0.5,34.66
BATCH_0688,43.14,13.07,3.39,2.11,1.43,0.33,35.34
BATCH_0689,43.29,14.15,3.1,2.37,1.61,0.39,35.42
BATCH_0690,42.42,14.57,2.84,2.27,1.56,0.3,35.72
BATCH_0691,44.13,14.49,2.74,1.79,1.27,0.35,35.89
BATCH_0692,42.05,13.76,2.93,2.26,1.56,0.21,34.64
BATCH_0693,43.46,13.85,3.3,2.1,1.33,0.29,35.26
BATCH_0694,41.63,14.45,3.1,2.05,1.37,0.5,35.24
BATCH_0695,42.36,15.01,2.99,2.16,1.11,0.5,35.61
BATCH_0696,42.39,13.79,3.09,1.88,1.37,0.44,34.61
BATCH_0697,44.93,13.83,3.8,2.2,1.31,0.51,34.71
BATCH_0698,43.29,13.82,3.28,1.81,1.42,0.26,35.95
BATCH_0699,43.62,14.78,2.99,2.01,1.35,0.65,35.48
BATCH_0700,43.06,14.09,3.08,1.93,1.52,0.39,36.45
BATCH_0701,44.12,12.73,3.39,2.38,1.78,0.28,35.94
BATCH_0702,42.33,14.49,3.02,2.2,1.53,0.51,35.48
BATCH_0703,43.07,13.96,2.97,1.9,1.03,0.34,35.49
BATCH_0704,44.02,13.82,3.24,1.8,1.29,0.45,35.58
BATCH_0705,43.33,12.91,3.44,1.94,1.62,0.42,36.11
BATCH_0706,45.56,13.7,3.59,1.79,1.29,0.41,35.5
BATCH_0707,43.75,13.97,3.56,1.74,1.41,0.33,35.86
BATCH_0708,42.6,14.04,3.71,2.28,1.51,0.47,36.18
BATCH_0709,41.43,13.13,3.54,2.2,1.21,0.33,35.04
BATCH_0710,41.08,14.57,3.22,2.19,1.23,0.32,35.68
BATCH_0711,43.61,13.9,2.32,1.96,1.46,0.39,36.3
BATCH_0712,43.04,13.05,2.95,1.93,1.41,0.51,34.58
BATCH_0713,43.38,14.27,3.43,2.27,1.6,0.45,36.28
BATCH_0714,42.25,13.21,3.18,1.95,1.22,0.41,35.21
BATCH_0715,43.53,13.91,3.34,2.35,1.33,0.34,36.37
BATCH_0716,44.04,13.54,3.58,2.09,1.41,0.43,35.39
BATCH_0717,43.21,13.5,3.18,1.93,1.43,0.43,34.91
BATCH_0718,43.51,13.92,3.83,1.98,1.69,0.44,35.25
BATCH_0719,42.64,13.67,3.45,2.29,1.45,0.44,35.77
BATCH_0720,43.61,13.5,4.01,1.99,1.31,0.31,35.55
BATCH_0721,44.28,14.32,3.01,1.84,1.4,0.28,36.2
BATCH_0722,42.73,14.26,2.75,2.02,1.05,0.33,36.33
BATCH_0723,42.41,13.67,2.92,2.12,1.46,0.54,34.8
BATCH_0724,42.37,14.71,2.73,2.35,1.41,0.35,34.66
BATCH_0725,44.45,13.51,2.62,2.17,1.41,0.25,34.93
BATCH_0726,43.6,12.73,2.98,1.74,1.63,0.4,34.85
BATCH_0727,45.33,13.82,3.43,1.91,0.98,0.59,35.15
BATCH_0728,43.62,13.49,3.73,2.41,1.41,0.55,34.68
BATCH_0729,44.03,13.25,2.86,2.18,1.24,0.34,36.07
BATCH_0730,42.58,12.91,2.92,1.95,1.5,0.52,34.81
BATCH_0731,41.22,13.81,3.38,2.36,1.7,0.39,34.94
BATCH_0732,43.13,13.21,2.98,1.85,1.3,0.34,35.48
BATCH_0733,43.25,14.24,3.39,2.16,1.32,0.35,35.38
BATCH_0734,42.83,13.48,3.01,2.13,1.86,0.33,35.28
BATCH_0735,42.82,12.69,3.56,2.12,0.85,0.61,35.9
BATCH_0736,43.6,13.9,3.29,2.44,1.39,0.48,35.59
BATCH_0737,43.47,12.46,3.3,2.39,1.4,0.42,35.44
BATCH_0738,43.3,13.83,3.58,2.41,1.23,0.41,34.81
BATCH_0739,42.47,13.64,2.93,2.33,1.57,0.27,35.5
BATCH_0740,43.22,13.16,3.18,2.05,1.39,0.32,35.82
BATCH_0741,43.19,13.97,3.85,2.01,1.81,0.49,36.4
BATCH_0742,42.52,13.62,3.26,2.02,1.19,0.32,35.55
BATCH_0743,44.11,14.41,3.25,1.9,1.76,0.47,34.54
BATCH_0744,42.97,14.24,3.24,1.97,1.45,0.37,35.08
BATCH_0745,42.0,13.04,2.86,1.95,1.57,0.42,35.08
BATCH_0746,42.73,14.95,2.83,1.89,1.33,0.39,35.37
BATCH_0747,42.37,13.96,3.33,1.89,1.3,0.51,35.95
BATCH_0748,42.92,13.77,2.97,1.91,1.46,0.32,35.63
BATCH_0749,41.9,13.68,2.89,2.3,1.52,0.36,36.41
BATCH_0750,42.67,13.49,3.61,1.85,1.27,0.34,35.93
BATCH_0751,43.63,14.2,2.94,2.08,1.4,0.41,35.21
BATCH_0752,43.69,14.76,2.96,1.93,0.86,0.37,36.41
BATCH_0753,42.28,14.02,2.99,2.16,1.41,0.51,36.38
BATCH_0754,43.85,13.91,3.15,2.05,1.63,0.35,34.54
BATCH_0755,43.76,14.49,3.36,2.09,1.47,0.49,36.18
BATCH_0756,43.48,14.08,3.33,2.06,1.01,0.31,35.24
BATCH_0757,42.97,13.02,3.15,2.38,1.49,0.33,35.58
BATCH_0758,42.17,14.82,3.74,2.05,1.33,0.46,36.14
BATCH_0759,44.04,13.2,3.22,2.14,1.38,0.5,35.45
BATCH_0760,44.12,13.88,2.99,2.08,1.49,0.49,35.82
BATCH_0761,44.27,14.6,3.3,2.32,1.29,0.38,34.91
BATCH_0762,43.33,13.35,3.64,1.81,1.33,0.33,35.57
BATCH_0763,41.76,14.58,3.37,1.91,1.4,0.42,36.24
BATCH_0764,42.36,14.45,3.16,2.0,1.21,0.52,35.12
BATCH_0765,43.81,14.43,3.3,2.09,1.13,0.43,36.12
BATCH_0766,44.51,13.13,2.98,1.95,1.72,0.6,36.33
BATCH_0767,44.8,14.21,3.51,1.79,1.21,0.54,35.07
BATCH_0768,43.48,13.46,2.94,2.0,1.31,0.32,35.14
BATCH_0769,42.49,12.8,3.05,2.05,1.42,0.47,36.03
BATCH_0770,43.15,13.28,3.25,2.33,1.37,0.41,35.19
BATCH_0771,43.25,15.1,3.15,2.45,1.22,0.26,35.34
BATCH_0772,42.32,12.63,3.34,2.08,1.26,0.47,35.5
