Batch_ID,Blaine_cm2g,Gypsum_SO3_pct,WC_Ratio,Strength_3d_MPa,Strength_7d_MPa,Strength_28d_MPa
BATCH_0420,4100.6,2.71,0.491,37.71,57.15,75.16
BATCH_0421,3719.6,2.37,0.462,40.9,57.93,81.27
BATCH_0422,3746.1,2.72,0.485,35.57,54.54,73.2
BATCH_0423,3468.9,3.52,0.518,31.77,53.56,71.96
BATCH_0424,3520.5,2.98,0.453,33.17,55.68,71.45
BATCH_0425,3622.2,2.65,0.464,31.13,56.2,75.65
BATCH_0426,3442.4,3.29,0.457,36.91,56.8,74.84
BATCH_0427,3096.8,2.84,0.464,32.55,53.22,72.3
BATCH_0428,3681.7,2.55,0.53,37.22,54.81,70.37
BATCH_0429,3677.9,2.74,0.486,41.53,61.74,85.12
BATCH_0430,3518.3,3.4,0.433,31.44,54.08,76.13
BATCH_0431,3467.2,2.53,0.453,34.62,57.79,74.02
BATCH_0432,3608.6,2.69,0.508,32.97,51.75,68.19
BATCH_0433,3314.3,2.53,0.5,35.42,55.96,72.27
BATCH_0434,3876.7,2.92,0.451,33.34,55.84,75.62
BATCH_0435,3717.0,2.88,0.488,35.26,56.13,72.46
BATCH_0436,3756.9,3.3,0.488,31.52,54.66,71.49
BATCH_0437,3433.7,2.9,0.472,34.57,52.5,70.66
BATCH_0438,3739.4,2.99,0.5,30.36,52.86,70.7
BATCH_0439,3409.3,2.65,0.466,32.32,57.15,75.12
BATCH_0440,3736.2,2.93,0.508,34.94,56.41,78.99
BATCH_0441,3191.1,2.72,0.475,32.97,55.06,77.58
BATCH_0442,3552.7,2.77,0.414,37.27,60.82,76.23
BATCH_0443,3219.9,2.14,0.535,32.23,52.17,69.76
BATCH_0444,3963.5,2.66,0.458,37.19,59.77,77.95
BATCH_0445,3737.8,2.77,0.468,37.53,58.03,74.27
BATCH_0446,3857.8,2.92,0.451,33.15,58.16,77.44
BATCH_0447,3753.0,2.67,0.493,34.61,53.07,73.15
BATCH_0448,3503.5,2.53,0.487,30.44,53.85,71.07
BATCH_0449,3583.2,2.97,0.504,39.62,60.99,75.01
BATCH_0450,3563.4,3.1,0.448,37.63,58.16,77.81
BATCH_0451,3803.6,2.52,0.486,36.13,60.28,75.15
BATCH_0452,3324.7,3.02,0.51,34.14,52.81,73.25
BATCH_0453,3483.4,2.67,0.459,32.49,49.37,74.3
BATCH_0454,3571.7,2.63,0.45,35.85,57.48,77.23
BATCH_0455,3858.6,3.09,0.514,35.55,59.53,74.85
BATCH_0456,3916.6,3.01,0.499,38.34,58.14,76.49
BATCH_0457,3618.9,2.94,0.489,38.8,61.26,76.99
BATCH_0458,3702.6,3.16,0.476,33.6,55.54,72.88
BATCH_0459,3554.8,2.99,0.474,31.1,55.36,79.02
BATCH_0460,3244.7,3.33,0.405,33.4,55.34,75.56
BATCH_0461,3292.5,2.64,0.469,30.52,50.72,69.08
BATCH_0462,3049.3,2.73,0.487,32.96,52.59,71.65
BATCH_0463,3886.5,3.18,0.512,36.07,59.21,75.82
BATCH_0464,4109.3,2.84,0.495,34.25,56.71,74.1
BATCH_0465,3697.8,3.23,0.494,32.75,52.21,73.86
BATCH_0466,3669.4,2.9,0.476,35.49,61.76,76.21
BATCH_0467,3803.0,2.74,0.428,36.01,56.9,76.15
BATCH_0468,3640.8,3.24,0.509,33.64,54.49,74.76
BATCH_0469,3703.8,2.96,0.45,39.96,65.01,86.0
BATCH_0470,3914.0,3.16,0.456,35.72,59.13,77.34
BATCH_0471,4040.9,3.06,0.443,37.14,60.13,80.18
BATCH_0472,3423.3,3.02,0.478,35.66,57.79,73.17
BATCH_0473,3948.0,2.72,0.453,38.76,58.98,80.24
BATCH_0474,3845.3,2.68,0.532,37.38,59.04,76.11
BATCH_0475,3633.0,2.54,0.448,37.41,62.41,79.73
BATCH_0476,3328.1,2.76,0.446,35.55,53.72,72.83
BATCH_0477,3457.1,2.24,0.457,36.5,55.52,78.05
BATCH_0478,3509.2,2.89,0.496,34.06,53.79,75.81
BATCH_0479,3516.7,2.4,0.498,35.31,52.93,74.01
BATCH_0480,3549.3,3.09,0.489,34.53,55.18,70.48
BATCH_0481,3917.8,2.83,0.457,34.64,54.74,75.18
BATCH_0482,3919.6,2.78,0.474,36.14,58.03,74.35
BATCH_0483,3342.1,3.0,0.533,31.28,52.84,66.7
BATCH_0484,3564.6,2.89,0.521,34.27,59.11,77.11
BATCH_0485,3954.5,2.59,0.437,36.49,57.15,73.78
BATCH_0486,3052.0,2.37,0.5,32.04,53.72,70.06
BATCH_0487,3931.0,2.71,0.452,35.05,56.22,78.23
BATCH_0488,3949.5,3.16,0.464,36.06,58.64,77.61
BATCH_0489,3449.7,3.15,0.504,30.61,51.56,69.89
BATCH_0490,3984.3,3.22,0.405,38.28,64.02,80.11
BATCH_0491,3755.7,3.0,0.509,31.82,55.3,73.06
BATCH_0492,3586.8,3.0,0.482,32.84,55.72,69.2
BATCH_0493,3864.6,2.89,0.491,34.73,54.96,73.94
BATCH_0494,3538.3,2.22,0.534,32.11,54.88,71.21
BATCH_0495,4085.3,2.83,0.485,35.59,57.66,73.44
BATCH_0496,3655.0,3.11,0.538,32.8,55.9,70.83
BATCH_0497,3778.7,2.57,0.495,32.45,52.96,75.66
BATCH_0498,3607.8,2.75,0.49,32.12,54.54,72.12
BATCH_0499,3880.5,2.93,0.537,32.1,55.95,77.17
BATCH_0500,3419.2,2.91,0.456,35.58,56.8,75.22
BATCH_0501,3404.5,2.84,0.469,30.5,53.9,70.18
BATCH_0502,3673.0,2.83,0.506,35.92,54.81,71.92
BATCH_0503,3583.8,3.05,0.459,35.72,57.36,74.6
BATCH_0504,3795.3,2.82,0.511,38.42,61.73,79.36
BATCH_0505,3586.6,2.93,0.43,39.01,57.99,72.39
BATCH_0506,3479.9,2.88,0.486,29.45,51.54,72.33
BATCH_0507,3745.5,2.86,0.425,37.17,59.22,74.34
BATCH_0508,3369.4,2.55,0.444,35.68,56.23,72.98
BATCH_0509,3587.1,2.56,0.498,30.0,51.58,75.13
BATCH_0510,3742.8,3.22,0.494,33.82,53.55,73.8
BATCH_0511,3796.9,3.44,0.459,34.59,59.29,76.71
BATCH_0512,3050.6,3.18,0.486,27.21,51.24,71.89
BATCH_0513,3143.5,3.1,0.498,35.86,60.73,78.94
BATCH_0514,3174.7,2.91,0.488,28.1,51.14,71.27
BATCH_0515,3937.5,3.54,0.524,32.47,55.4,73.23
BATCH_0516,3671.0,2.8,0.468,33.31,57.59,72.43
BATCH_0517,3740.7,2.76,0.427,36.54,58.43,76.41
BATCH_0518,3713.7,2.78,0.488,34.0,57.32,72.94
BATCH_0519,3499.5,2.91,0.497,34.84,56.65,75.74
BATCH_0520,3485.6,3.11,0.503,29.27,51.26,68.78
BATCH_0521,3741.5,2.78,0.506,31.95,54.49,72.47
BATCH_0522,3645.1,2.51,0.462,33.28,54.62,75.05
BATCH_0523,3766.0,2.65,0.503,36.62,57.06,74.69
BATCH_0524,3730.6,2.6,0.449,34.6,56.58,75.01
BATCH_0525,3620.3,2.76,0.466,33.6,57.98,76.51
BATCH_0526,3694.9,2.71,0.482,31.92,54.31,75.42
BATCH_0527,3486.2,2.85,0.455,33.63,58.67,76.03
BATCH_0528,3842.6,2.42,0.499,38.57,58.72,77.47
BATCH_0529,3660.4,2.51,0.472,36.18,54.57,77.44
BATCH_0530,3458.1,3.34,0.541,35.84,54.14,68.34
BATCH_0531,3441.9,2.5,0.459,34.3,56.69,74.98
BATCH_0532,3346.8,2.27,0.467,32.73,55.54,73.23
BATCH_0533,3426.0,3.4,0.51,32.66,52.49,72.48
BATCH_0534,3805.7,2.81,0.448,34.83,55.2,78.26
BATCH_0535,3564.2,2.85,0.474,33.03,53.22,73.85
BATCH_0536,3157.0,2.99,0.46,28.26,50.72,72.75
BATCH_0537,3527.4,2.78,0.474,30.12,52.16,69.47
BATCH_0538,3357.9,2.39,0.503,38.59,57.43,73.49
BATCH_0539,3722.3,2.64,0.477,35.43,59.44,74.28
BATCH_0540,3530.1,2.76,0.494,29.6,54.55,70.3
BATCH_0541,3756.5,2.87,0.442,36.65,59.94,76.47
BATCH_0542,3725.6,3.16,0.435,35.76,58.46,76.7
BATCH_0543,3738.9,3.4,0.5,38.08,62.17,82.91
BATCH_0544,3922.9,2.89,0.489,34.71,56.2,73.24
BATCH_0545,4168.6,2.9,0.473,36.06,57.51,79.47
BATCH_0546,3890.4,2.74,0.435,39.15,63.33,78.92
BATCH_0547,3373.1,2.81,0.473,34.04,55.46,73.91
BATCH_0548,4092.2,3.08,0.457,35.36,57.68,77.82
BATCH_0549,3706.7,3.4,0.542,27.27,50.75,73.09
BATCH_0550,3436.6,3.07,0.517,34.88,59.9,79.06
BATCH_0551,3584.4,2.41,0.45,32.01,53.05,74.98
BATCH_0552,3566.6,2.54,0.501,40.22,59.44,72.74
BATCH_0553,3400.9,2.36,0.483,37.29,61.42,78.57
BATCH_0554,2977.2,3.17,0.513,29.08,51.1,65.51
BATCH_0555,3059.7,2.83,0.568,28.21,47.35,65.77
BATCH_0556,3678.9,2.79,0.488,35.48,54.63,74.29
BATCH_0557,3114.1,2.59,0.451,28.94,50.7,69.31
BATCH_0558,4075.2,2.92,0.513,30.64,51.89,74.75
BATCH_0559,3695.6,3.13,0.5,35.74,51.07,71.6
BATCH_0560,3497.2,2.84,0.423,37.47,59.97,77.9
BATCH_0561,3768.1,3.35,0.524,33.88,57.69,73.25
BATCH_0562,3668.5,2.72,0.477,34.99,54.81,75.38
BATCH_0563,3822.0,2.33,0.494,28.47,51.95,73.12
BATCH_0564,3579.7,3.05,0.49,29.46,53.98,76.08
BATCH_0565,3725.6,2.92,0.42,31.98,57.33,77.7
BATCH_0566,3832.7,3.34,0.516,35.22,55.44,70.3
BATCH_0567,3325.8,3.03,0.514,29.27,50.22,67.86
BATCH_0568,3813.0,3.07,0.482,30.76,55.87,74.65
BATCH_0569,3506.7,2.24,0.459,35.53,59.34,77.23
BATCH_0570,3747.0,2.59,0.481,35.78,57.64,74.38
BATCH_0571,3726.4,2.79,0.453,30.81,53.39,73.78
BATCH_0572,3496.9,2.36,0.509,36.03,56.33,74.64
BATCH_0573,3913.7,3.18,0.494,36.01,60.5,74.14
BATCH_0574,3697.5,2.82,0.443,25.45,50.88,75.41
BATCH_0575,3697.1,2.75,0.486,29.96,55.49,73.78
BATCH_0576,3485.1,2.7,0.483,33.44,54.23,74.87
BATCH_0577,3581.9,2.55,0.456,36.87,56.45,75.84
BATCH_0578,3548.8,2.68,0.456,33.76,55.86,70.42
BATCH_0579,3741.8,3.0,0.488,33.26,54.74,74.73
BATCH_0580,3929.0,2.99,0.482,36.17,57.95,77.84
BATCH_0581,3583.4,2.78,0.527,33.13,55.66,69.69
BATCH_0582,3338.6,2.74,0.468,38.3,55.5,75.08
BATCH_0583,3866.3,2.98,0.501,32.1,57.23,72.33
BATCH_0584,3672.3,2.75,0.499,33.72,57.11,74.72
BATCH_0585,3740.8,2.67,0.487,30.92,54.32,75.14
BATCH_0586,3305.5,2.93,0.513,31.8,54.01,69.94
BATCH_0587,3775.4,2.84,0.437,36.63,60.45,76.9
BATCH_0588,3543.8,3.12,0.48,34.07,57.45,73.11
BATCH_0589,3677.2,2.7,0.454,33.16,56.17,70.45
BATCH_0590,3461.8,2.48,0.445,38.94,59.93,79.66
BATCH_0591,3473.9,2.48,0.517,33.41,52.94,70.89
BATCH_0592,3873.2,3.09,0.492,37.02,58.92,75.78
BATCH_0593,3316.9,2.4,0.482,31.21,56.01,70.67
BATCH_0594,3499.3,2.75,0.5,35.55,57.0,71.34
BATCH_0595,3855.7,2.89,0.488,40.96,64.68,82.06
BATCH_0596,3513.5,3.05,0.423,41.03,61.59,79.22
BATCH_0597,3444.6,3.43,0.471,27.88,49.33,69.16
BATCH_0598,3271.6,2.81,0.485,37.98,58.71,78.22
BATCH_0599,3734.0,3.03,0.48,27.85,51.7,73.19
BATCH_0600,3420.4,3.04,0.501,33.76,56.07,70.13
BATCH_0601,3968.2,2.7,0.46,35.14,56.9,75.32
BATCH_0602,3538.2,2.46,0.465,33.62,55.47,71.05
BATCH_0603,3850.3,3.04,0.504,33.4,55.08,72.93
BATCH_0604,4444.4,2.95,0.478,36.14,58.94,79.2
BATCH_0605,4098.4,2.93,0.473,36.55,60.52,79.48
BATCH_0606,3322.6,2.3,0.48,31.15,52.17,69.47
BATCH_0607,3644.3,3.05,0.489,37.32,58.61,78.61
BATCH_0608,3407.3,3.26,0.471,35.68,53.62,68.25
BATCH_0609,3595.0,2.41,0.498,33.85,57.53,72.86
BATCH_0610,3464.0,2.93,0.438,35.22,56.05,76.91
BATCH_0611,3486.7,3.0,0.479,29.24,57.22,73.33
BATCH_0612,3603.8,2.9,0.469,32.85,54.09,73.18
BATCH_0613,3700.8,2.95,0.487,38.6,55.27,76.1
BATCH_0614,3929.1,1.93,0.443,34.41,57.2,78.54
BATCH_0615,3919.5,2.96,0.504,32.7,57.36,75.55
BATCH_0616,3629.6,2.47,0.485,36.42,56.86,78.6
BATCH_0617,3730.6,2.64,0.448,34.13,54.92,74.73
BATCH_0618,3323.4,2.83,0.464,32.33,52.41,70.51
BATCH_0619,3359.3,2.75,0.436,30.82,53.43,73.05
BATCH_0620,3547.6,2.98,0.491,34.14,57.64,67.83
BATCH_0621,3939.9,2.37,0.448,34.02,55.82,78.25
BATCH_0622,3084.6,2.56,0.481,35.39,55.16,72.23
BATCH_0623,3433.1,2.96,0.445,36.29,56.21,74.47
BATCH_0624,3885.2,2.89,0.498,31.1,55.67,72.31
BATCH_0625,3649.7,2.94,0.491,33.21,52.17,71.43
BATCH_0626,3704.7,1.89,0.489,30.63,55.33,75.41
BATCH_0627,3341.0,2.74,0.567,31.82,50.57,66.95
BATCH_0628,3315.9,2.87,0.46,36.18,59.03,76.16
BATCH_0629,3232.9,2.79,0.53,35.15,55.04,70.22
BATCH_0630,3780.7,3.17,0.446,38.26,61.23,76.75
BATCH_0631,3526.5,2.86,0.469,33.99,53.87,75.67
BATCH_0632,3755.8,3.29,0.475,33.38,56.2,70.4
BATCH_0633,3348.8,2.9,0.497,30.3,52.2,70.87
BATCH_0634,3758.1,2.43,0.412,35.54,57.96,81.35
BATCH_0635,3727.4,3.09,0.522,38.93,57.78,74.19
BATCH_0636,3846.1,3.04,0.504,34.12,57.46,71.93
BATCH_0637,3673.3,2.66,0.487,30.45,51.27,73.8
BATCH_0638,3650.9,2.38,0.491,36.49,53.43,73.23
BATCH_0639,3856.7,2.72,0.511,36.8,60.06,77.1
BATCH_0640,3447.1,3.04,0.461,37.1,56.47,72.33
BATCH_0641,3262.6,2.98,0.432,34.48,54.46,77.22
BATCH_0642,3868.8,3.13,0.512,38.26,60.84,79.47
BATCH_0643,3539.6,2.9,0.541,30.26,49.25,67.75
BATCH_0644,3747.0,2.41,0.48,34.84,58.16,75.92
BATCH_0645,3455.0,2.8,0.509,30.68,53.54,72.08
BATCH_0646,3566.1,3.04,0.515,31.11,56.42,72.4
BATCH_0647,3443.6,2.94,0.467,32.96,54.98,72.6
BATCH_0648,3427.4,2.77,0.478,34.89,59.24,73.08
BATCH_0649,3483.1,3.14,0.506,35.8,58.91,75.5
BATCH_0650,3808.2,2.98,0.519,31.75,52.47,72.41
BATCH_0651,3452.9,2.53,0.489,34.16,53.79,74.3
BATCH_0652,3662.6,2.6,0.494,31.57,53.83,67.17
BATCH_0653,3554.5,2.64,0.482,29.95,53.4,71.85
BATCH_0654,4114.1,2.66,0.5,36.92,57.1,76.21
BATCH_0655,3424.8,2.68,0.494,32.96,52.55,69.37
BATCH_0656,3503.2,3.03,0.535,35.16,57.3,72.17
BATCH_0657,3536.7,3.29,0.507,30.58,52.17,71.68
BATCH_0658,3438.1,2.7,0.409,35.4,59.42,78.14
BATCH_0659,3795.9,3.03,0.471,34.64,56.86,77.63
BATCH_0660,3463.4,2.77,0.517,38.09,58.17,71.64
BATCH_0661,3121.5,2.37,0.494,33.95,53.62,74.76
BATCH_0662,3540.1,2.72,0.52,33.05,50.08,70.87
BATCH_0663,3294.6,2.42,0.438,33.49,54.35,73.59
BATCH_0664,3981.6,3.03,0.524,34.33,57.34,74.65
BATCH_0665,3664.1,2.71,0.507,33.49,55.65,72.35
BATCH_0666,3410.4,2.51,0.476,37.4,57.14,73.85
BATCH_0667,3740.8,2.58,0.499,33.73,56.49,70.1
BATCH_0668,3519.1,2.72,0.46,35.31,57.02,75.33
BATCH_0669,3783.8,2.7,0.478,33.09,54.97,72.8
BATCH_0670,3288.4,2.46,0.49,34.35,55.73,76.16
BATCH_0671,4076.4,2.83,0.477,39.09,58.43,77.48
BATCH_0672,4019.0,2.97,0.492,34.88,55.58,74.49
BATCH_0673,3435.1,2.9,0.52,35.07,58.86,72.81
BATCH_0674,3939.8,2.39,0.525,36.12,57.03,77.04
BATCH_0675,3722.5,2.82,0.463,34.14,57.29,74.46
BATCH_0676,3893.1,2.77,0.468,36.62,58.05,77.36
BATCH_0677,3632.2,2.09,0.51,37.06,59.54,75.36
BATCH_0678,3803.7,2.71,0.481,34.73,53.01,74.55
BATCH_0679,3592.0,2.88,0.467,33.13,55.79,73.29
BATCH_0680,3453.3,2.82,0.486,28.28,51.5,72.71
BATCH_0681,3143.4,2.57,0.453,35.82,56.75,74.13
BATCH_0682,3035.8,3.28,0.528,34.6,57.14,75.22
BATCH_0683,3908.1,2.96,0.465,33.98,54.64,75.55
BATCH_0684,3670.4,2.75,0.545,35.52,59.11,71.29
BATCH_0685,3372.1,3.04,0.508,39.48,62.72,81.6
BATCH_0686,3806.9,3.05,0.489,32.86,55.28,75.03
BATCH_0687,3490.5,2.33,0.484,32.2,53.91,75.73
BATCH_0688,3392.0,2.47,0.446,36.47,55.87,69.17
BATCH_0689,3928.7,3.09,0.49,35.17,56.27,74.31
BATCH_0690,3856.2,2.5,0.461,34.07,58.1,74.57
BATCH_0691,3529.5,2.83,0.47,34.76,55.0,76.45
BATCH_0692,3925.0,2.11,0.517,32.39,54.4,71.68
BATCH_0693,3514.4,3.0,0.504,35.49,52.42,71.38
BATCH_0694,3453.3,2.9,0.495,26.82,50.3,71.71
BATCH_0695,3993.4,2.71,0.542,30.11,53.26,73.17
BATCH_0696,4199.6,2.96,0.45,33.98,57.28,76.65
BATCH_0697,4086.4,2.56,0.524,37.05,55.62,75.99
BATCH_0698,3917.7,2.9,0.506,36.8,62.46,75.16
BATCH_0699,3722.2,3.12,0.504,31.91,53.81,67.48
BATCH_0700,3687.5,3.07,0.463,33.71,57.69,75.79
BATCH_0701,3515.6,2.97,0.456,37.42,62.79,83.17
BATCH_0702,3528.5,2.85,0.467,33.09,51.79,74.95
BATCH_0703,3838.6,2.91,0.48,36.18,58.84,75.63
BATCH_0704,3824.6,2.75,0.511,38.84,55.82,70.5
BATCH_0705,3557.3,3.05,0.452,35.65,57.53,75.91
BATCH_0706,3719.9,2.96,0.498,37.16,57.63,75.28
BATCH_0707,3639.5,2.57,0.546,34.94,54.41,70.56
BATCH_0708,3639.3,2.82,0.464,34.62,53.31,74.39
BATCH_0709,3231.4,2.69,0.481,29.76,53.07,70.69
BATCH_0710,3404.8,2.65,0.418,27.87,51.68,73.22
BATCH_0711,3555.2,2.77,0.495,36.2,54.75,72.93
BATCH_0712,3654.4,2.82,0.479,37.71,58.04,75.61
BATCH_0713,3756.2,3.09,0.442,35.37,59.08,78.1
BATCH_0714,3741.8,3.1,0.476,35.87,52.36,70.82
BATCH_0715,3811.9,2.67,0.497,37.05,57.82,72.13
BATCH_0716,3805.5,2.84,0.446,39.02,58.93,78.26
BATCH_0717,4128.7,3.1,0.502,34.22,56.58,74.1
BATCH_0718,3393.6,3.03,0.473,32.71,54.52,72.45
BATCH_0719,3409.5,2.74,0.491,29.71,51.67,69.49
BATCH_0720,4045.3,2.97,0.499,38.47,61.05,78.09
BATCH_0721,3982.4,3.07,0.493,34.23,60.32,80.24
BATCH_0722,3429.7,2.6,0.498,31.89,54.05,69.82
BATCH_0723,4021.5,2.73,0.495,32.32,53.47,69.23
BATCH_0724,4054.2,3.2,0.507,31.91,55.22,76.32
BATCH_0725,3804.7,3.04,0.522,36.79,61.13,77.78
BATCH_0726,3526.6,2.68,0.435,35.59,60.87,76.06
BATCH_0727,3696.9,3.16,0.468,38.71,56.67,75.03
BATCH_0728,3511.6,2.83,0.522,33.59,51.32,71.26
BATCH_0729,3841.6,3.23,0.488,37.46,61.44,80.68
BATCH_0730,3799.9,2.62,0.471,33.66,58.92,76.58
BATCH_0731,3341.7,2.93,0.503,30.34,49.2,71.25
BATCH_0732,3494.8,2.83,0.479,33.52,57.59,69.26
BATCH_0733,3526.5,2.61,0.5,31.34,52.15,71.23
BATCH_0734,3804.6,2.71,0.455,37.28,59.46,76.45
BATCH_0735,3615.3,3.4,0.453,36.56,55.27,72.93
BATCH_0736,3724.7,2.88,0.481,36.56,55.25,78.33
BATCH_0737,3540.3,2.54,0.49,37.9,58.41,75.11
BATCH_0738,3368.1,2.86,0.524,30.32,51.49,68.1
BATCH_0739,3711.0,2.64,0.454,33.68,53.62,75.05
BATCH_0740,3385.1,3.23,0.529,31.67,54.31,69.8
BATCH_0741,3514.7,2.79,0.479,31.05,53.55,74.21
BATCH_0742,3383.4,2.9,0.579,32.87,56.24,69.56
BATCH_0743,3657.4,2.51,0.494,34.4,54.14,75.24
BATCH_0744,3700.7,2.78,0.493,32.09,55.08,75.59
BATCH_0745,3496.9,3.51,0.444,35.86,59.43,73.25
BATCH_0746,3378.0,3.11,0.425,34.02,55.24,75.02
BATCH_0747,3465.6,3.05,0.504,30.91,51.38,70.22
BATCH_0748,4137.6,2.5,0.513,34.43,55.51,73.42
BATCH_0749,3762.5,2.63,0.502,31.94,53.54,73.04
BATCH_0750,3771.7,3.08,0.478,35.83,53.53,73.77
BATCH_0751,3699.5,2.66,0.484,31.29,54.64,73.66
BATCH_0752,3671.8,2.21,0.501,34.88,58.9,74.38
BATCH_0753,3559.1,3.0,0.535,28.74,50.47,70.28
BATCH_0754,3864.5,2.71,0.483,37.84,55.71,75.53
BATCH_0755,3162.0,3.34,0.506,31.23,52.92,72.52
BATCH_0756,3634.4,2.67,0.483,34.8,54.67,75.39
BATCH_0757,4029.4,2.9,0.52,37.1,58.82,76.75
BATCH_0758,3687.3,2.72,0.51,28.56,51.16,71.75
BATCH_0759,3788.8,2.62,0.479,37.68,59.8,77.37
BATCH_0760,3554.6,3.08,0.439,34.55,60.97,77.8
BATCH_0761,3437.5,2.4,0.449,33.41,56.67,71.19
BATCH_0762,3507.4,2.73,0.504,34.47,56.02,72.3
BATCH_0763,3736.0,2.91,0.471,30.96,53.48,75.61
BATCH_0764,3429.0,2.25,0.512,29.51,54.32,73.04
BATCH_0765,3798.4,2.69,0.46,34.58,57.52,78.85
BATCH_0766,3573.6,2.72,0.53,37.62,60.87,76.67
BATCH_0767,3774.8,3.0,0.46,35.72,60.52,77.5
BATCH_0768,3534.6,2.7,0.467,37.3,54.99,71.4
BATCH_0769,4051.1,2.44,0.501,38.5,57.23,76.95
BATCH_0770,3711.6,2.61,0.446,35.93,56.5,73.62
BATCH_0771,3401.9,2.54,0.505,25.53,52.24,71.78
BATCH_0772,3893.2,2.81,0.504,38.04,58.92,74.76
BATCH_0773,3825.9,3.22,0.532,32.69,52.58,71.98
BATCH_0774,3227.5,2.42,0.49,33.5,53.29,71.59
BATCH_0775,3338.0,3.01,0.526,27.05,48.65,66.71
BATCH_0776,3651.1,2.44,0.465,38.93,59.95,78.39
BATCH_0777,3627.6,2.31,0.473,32.17,55.65,74.56
BATCH_0778,4152.0,2.84,0.51,28.69,49.73,73.44
BATCH_0779,3253.3,2.64,0.463,38.7,60.72,76.3
BATCH_0780,4204.6,2.79,0.517,35.19,54.16,72.64
BATCH_0781,3782.4,3.17,0.444,33.67,55.52,75.95
BATCH_0782,3413.2,2.98,0.466,35.26,59.15,74.1
BATCH_0783,3947.6,2.65,0.476,40.23,58.35,77.92
BATCH_0784,3514.7,3.49,0.491,35.15,57.06,75.45
BATCH_0785,3736.7,3.23,0.476,36.56,55.84,75.4
BATCH_0786,3059.8,2.65,0.534,34.5,54.19,73.61
BATCH_0787,3923.3,2.75,0.489,39.93,59.35,77.24
BATCH_0788,3618.7,2.61,0.458,34.44,55.48,75.95
BATCH_0789,3774.1,3.04,0.427,40.11,60.44,81.37
BATCH_0790,3650.2,2.51,0.5,34.06,57.16,73.3
BATCH_0791,3675.0,3.0,0.525,33.37,54.57,71.54
BATCH_0792,3562.5,2.47,0.519,32.75,52.74,67.25
BATCH_0793,3838.7,2.66,0.453,35.94,56.53,75.27
BATCH_0794,3590.5,3.05,0.479,36.3,57.24,73.76
BATCH_0795,3924.3,2.56,0.465,36.97,55.72,78.1
BATCH_0796,3671.8,2.79,0.483,37.19,58.5,80.59
BATCH_0797,3646.2,2.36,0.489,27.03,55.39,71.78
BATCH_0798,3564.1,2.79,0.482,36.9,55.59,72.56
BATCH_0799,3491.8,2.36,0.486,31.02,52.15,72.65
BATCH_0800,3610.9,2.4,0.446,37.62,58.64,74.88
BATCH_0801,2979.8,2.46,0.496,31.55,51.8,70.93
BATCH_0802,3676.3,2.57,0.429,37.43,54.9,74.96
BATCH_0803,3774.7,2.85,0.49,30.01,52.1,72.49
BATCH_0804,3520.0,2.64,0.452,37.76,59.62,76.95
BATCH_0805,3698.6,2.12,0.482,40.97,66.31,83.59
BATCH_0806,3747.6,2.77,0.441,34.6,55.07,76.53
BATCH_0807,4018.0,2.94,0.562,36.18,60.92,79.23
BATCH_0808,3899.4,3.01,0.488,37.13,57.09,72.67
BATCH_0809,3828.1,3.06,0.48,34.24,54.84,77.38
BATCH_0810,3677.0,2.78,0.496,33.64,55.45,74.65
BATCH_0811,3902.7,2.78,0.514,32.52,52.43,72.43
BATCH_0812,3313.3,2.34,0.458,37.49,59.23,73.18
BATCH_0813,3836.4,2.76,0.469,38.95,63.09,80.66
BATCH_0814,3442.5,2.83,0.411,35.62,52.75,76.14
BATCH_0815,3536.7,2.62,0.428,32.37,56.36,78.03
BATCH_0816,3979.0,2.37,0.418,35.82,57.4,79.72
BATCH_0817,3279.2,2.46,0.469,35.09,55.1,70.23
BATCH_0818,3262.9,3.26,0.485,34.1,52.09,72.42
BATCH_0819,3704.7,2.74,0.523,32.85,53.21,69.94
BATCH_0820,3575.7,2.81,0.476,36.02,55.64,74.34
BATCH_0821,3977.1,2.73,0.488,33.8,56.41,73.36
BATCH_0822,3834.0,3.13,0.535,31.17,53.25,74.8
BATCH_0823,3473.6,2.95,0.454,34.1,58.47,77.25
BATCH_0824,3213.8,3.66,0.488,31.75,51.01,70.79
BATCH_0825,3587.5,2.78,0.515,37.4,54.59,74.05
BATCH_0826,3574.2,2.64,0.453,32.67,57.37,77.52
BATCH_0827,3576.8,2.49,0.486,33.37,56.56,71.33
BATCH_0828,3387.7,3.24,0.426,33.49,52.19,76.03
BATCH_0829,3349.9,2.44,0.44,32.31,56.39,73.78
BATCH_0830,3661.1,3.06,0.481,31.72,54.9,75.66
BATCH_0831,3612.1,2.74,0.438,34.54,57.54,72.79
BATCH_0832,3463.6,3.03,0.494,37.3,58.37,77.42
BATCH_0833,3392.2,3.21,0.541,30.59,52.65,69.07
BATCH_0834,3881.4,2.87,0.461,36.51,57.85,74.02
BATCH_0835,3425.0,2.73,0.466,36.47,57.14,73.62
BATCH_0836,3816.0,2.98,0.449,36.24,58.1,74.07
BATCH_0837,3543.9,3.1,0.585,31.27,53.57,69.05
BATCH_0838,3579.5,3.1,0.467,33.04,56.06,74.24
BATCH_0839,3469.9,2.48,0.473,34.62,54.92,72.31
BATCH_0840,3020.9,2.99,0.471,30.93,51.44,69.66
BATCH_0841,3618.5,2.38,0.492,34.62,56.63,71.48
