Batch_ID,Raw_CaO,Raw_SiO2,Raw_Al2O3,Raw_Fe2O3,Raw_MgO,Raw_SO3,LOI,Clinker_CaO,Clinker_SiO2,Clinker_Al2O3,Clinker_Fe2O3,LSF,SM,AM,Kiln_Temp_C,Feed_Rate_tph,Fan_Speed_rpm,Sec_Air_Temp_C,Fineness_90um_pct,Free_CaO_pct,C3S_pct,C2S_pct,C3A_pct,C4AF_pct,Blaine_cm2g,Gypsum_SO3_pct,WC_Ratio,Strength_3d_MPa,Strength_7d_MPa,Strength_28d_MPa
BATCH_0293,43.55,14.3,3.23,1.98,1.29,0.44,36.12,68.18,22.38,5.05,3.1,0.9638,2.7448,1.6271,1434.5,175.6,969.0,868.4,13.43,0.42,65.43,14.8,8.13,9.44,3896.0,3.11,0.481,36.42,59.0,77.05
BATCH_0294,42.56,13.57,3.08,2.3,1.32,0.61,35.78,66.28,21.13,4.79,3.59,0.9855,2.5217,1.3352,1435.1,160.9,1093.6,893.9,9.21,0.561,66.91,10.1,6.63,10.92,3775.8,2.96,0.485,33.06,55.48,75.84
BATCH_0295,42.1,13.74,2.96,1.94,1.76,0.49,35.36,65.13,21.25,4.59,3.01,0.9727,2.7995,1.5254,1411.2,190.1,1079.0,924.4,13.16,0.969,62.45,13.81,7.06,9.15,3428.7,3.17,0.498,28.8,51.64,69.02
BATCH_0296,42.43,13.43,3.54,2.1,1.36,0.39,36.11,66.41,21.03,5.53,3.29,0.9817,2.3825,1.6815,1465.2,168.8,1165.8,928.4,12.26,0.825,63.59,12.31,9.1,10.01,3336.1,2.69,0.443,35.15,57.77,76.17
BATCH_0297,42.74,14.24,3.71,1.64,1.63,0.46,35.39,66.15,22.04,5.74,2.53,0.9418,2.6629,2.2659,1477.4,162.3,1172.6,890.4,14.08,0.325,56.26,20.74,10.93,7.71,3792.7,2.81,0.425,31.84,58.82,77.77
BATCH_0298,43.23,14.21,3.53,2.24,1.45,0.3,34.99,66.5,21.87,5.42,3.44,0.9504,2.4657,1.5754,1419.9,172.0,1082.8,905.0,11.03,0.3,60.63,16.95,8.55,10.48,3433.0,2.86,0.44,34.17,59.32,77.44
BATCH_0299,42.44,14.53,3.09,2.4,1.84,0.38,35.61,65.92,22.57,4.79,3.73,0.9238,2.6483,1.285,1366.8,194.2,1111.2,940.1,11.99,1.008,53.56,24.3,6.39,11.35,3890.1,2.9,0.437,32.63,56.19,75.52
BATCH_0300,43.58,13.93,2.82,2.02,1.58,0.4,35.33,67.39,21.54,4.36,3.13,0.997,2.8768,1.3925,1443.1,206.5,1151.9,923.7,11.73,0.584,72.67,6.95,6.25,9.53,3557.9,2.7,0.492,35.01,55.96,70.95
BATCH_0301,43.15,13.05,3.38,2.18,1.7,0.51,35.84,67.26,20.34,5.27,3.4,1.0271,2.3457,1.5524,1432.3,172.9,1110.2,915.6,13.93,1.093,72.23,5.0,8.23,10.34,3525.9,2.36,0.52,35.08,53.94,71.71
BATCH_0302,40.65,14.62,3.43,1.75,1.28,0.56,36.15,63.66,22.89,5.37,2.74,0.8803,2.8218,1.9574,1470.7,194.1,1091.2,923.3,12.3,0.71,39.84,35.57,9.59,8.35,3381.0,2.56,0.51,26.18,51.37,68.14
BATCH_0303,43.42,13.79,2.99,2.23,1.08,0.4,34.69,66.49,21.12,4.58,3.42,0.9947,2.6422,1.3391,1468.5,173.3,1063.6,949.0,12.75,0.668,70.08,7.68,6.34,10.4,3609.6,2.08,0.515,36.46,56.75,65.77
BATCH_0304,43.36,14.61,3.31,2.0,1.21,0.37,34.85,66.56,22.42,5.08,3.07,0.9392,2.7518,1.6537,1384.8,180.7,1071.8,860.2,14.38,1.015,56.33,21.79,8.26,9.34,3283.0,2.75,0.482,28.06,52.82,69.3
BATCH_0305,43.46,13.88,3.04,2.02,1.53,0.37,35.63,67.51,21.57,4.72,3.15,0.9914,2.743,1.5,1414.3,179.6,1070.5,917.0,9.47,0.755,70.02,9.02,7.18,9.57,4187.9,2.63,0.491,37.85,60.64,76.59
BATCH_0306,43.28,13.18,3.46,2.18,1.48,0.36,36.31,67.95,20.69,5.43,3.42,1.0192,2.338,1.5861,1435.8,176.1,1127.8,843.8,11.85,1.046,72.16,5.0,8.59,10.41,3408.2,2.62,0.467,34.06,52.63,72.38
BATCH_0307,43.29,14.0,3.18,2.02,1.32,0.47,35.14,66.75,21.59,4.91,3.12,0.9765,2.6889,1.5731,1427.4,175.0,1164.7,998.0,10.63,0.671,65.44,12.52,7.73,9.49,4372.5,2.88,0.483,36.7,59.85,79.41
BATCH_0308,43.18,13.21,3.19,1.85,1.68,0.26,34.66,66.09,20.22,4.88,2.84,1.0275,2.622,1.7193,1413.1,164.4,1128.5,906.7,11.72,0.951,73.51,5.0,8.12,8.63,3607.4,2.95,0.451,35.24,58.13,74.9
BATCH_0309,41.8,15.5,3.08,2.14,1.29,0.34,35.39,64.69,23.99,4.77,3.31,0.862,2.9697,1.4428,1392.5,189.0,1029.5,934.6,9.22,0.754,39.69,38.83,7.05,10.06,3812.3,2.42,0.5,26.8,53.78,71.54
BATCH_0310,41.63,13.86,2.71,1.6,1.46,0.41,35.48,64.52,21.48,4.2,2.48,0.966,3.2143,1.6966,1410.0,178.4,1254.9,909.7,13.27,0.811,62.52,14.41,6.95,7.54,3673.8,2.73,0.468,35.51,57.01,74.13
BATCH_0311,43.09,12.4,2.81,2.17,1.46,0.47,35.46,66.76,19.21,4.36,3.36,1.091,2.4902,1.2987,1392.7,183.9,1052.7,930.4,12.58,1.289,84.41,5.0,5.87,10.21,3989.5,2.29,0.476,38.15,64.74,81.92
BATCH_0312,42.66,12.8,3.17,2.11,1.43,0.54,35.15,65.79,19.73,4.88,3.25,1.0406,2.426,1.5033,1411.7,178.2,1044.8,952.8,12.78,1.033,73.85,5.0,7.45,9.89,3123.8,3.23,0.443,34.37,56.35,70.87
BATCH_0313,41.74,13.59,3.18,2.36,1.03,0.44,35.35,64.56,21.02,4.92,3.65,0.9617,2.4512,1.3473,1388.8,189.4,1054.7,982.9,11.15,0.593,60.44,14.66,6.86,11.12,3402.8,2.72,0.512,29.46,50.15,71.48
BATCH_0314,42.69,13.44,3.0,1.96,1.27,0.36,35.42,66.1,20.81,4.65,3.04,1.0042,2.7079,1.5317,1397.8,183.1,1118.0,883.6,14.41,1.096,69.31,7.38,7.19,9.24,3195.5,2.91,0.455,33.93,50.58,73.93
BATCH_0315,44.08,13.96,2.78,2.0,1.37,0.23,35.04,67.86,21.5,4.28,3.08,1.0078,2.9177,1.3889,1445.0,176.6,1030.5,862.1,14.15,0.828,75.31,5.0,6.13,9.38,3897.6,3.27,0.511,35.59,53.7,75.55
BATCH_0316,43.06,14.44,2.93,2.02,1.36,0.11,35.49,66.76,22.38,4.55,3.14,0.9516,2.9139,1.4497,1478.5,166.5,1125.3,916.5,14.39,0.483,64.22,15.71,6.74,9.54,3541.3,2.53,0.504,30.59,55.91,71.63
BATCH_0317,43.35,13.16,3.17,2.22,1.6,0.24,35.59,67.29,20.43,4.91,3.45,1.0297,2.4435,1.4248,1428.9,166.5,1071.7,953.8,13.62,0.807,76.37,5.0,7.19,10.49,3560.5,2.64,0.567,34.78,53.56,73.63
BATCH_0318,44.32,15.14,2.8,2.25,1.4,0.25,35.73,68.95,23.55,4.36,3.51,0.9386,2.9931,1.2437,1437.3,192.5,1069.9,966.6,10.0,0.317,65.01,18.49,5.63,10.67,3634.1,2.81,0.459,35.24,58.67,79.73
BATCH_0319,44.76,13.21,3.86,1.98,1.13,0.38,36.39,70.37,20.78,6.07,3.11,1.0428,2.2614,1.9497,1533.4,193.4,1130.1,951.8,11.35,0.459,79.77,5.0,10.82,9.48,3600.6,3.34,0.477,39.5,59.73,79.31
BATCH_0320,44.69,14.17,3.27,2.2,1.2,0.56,35.99,69.82,22.14,5.11,3.43,0.9922,2.5916,1.4891,1489.7,185.9,1179.5,897.2,11.3,0.438,72.39,8.88,7.74,10.45,3708.7,2.68,0.496,36.79,56.62,77.1
BATCH_0321,42.94,14.18,2.89,2.21,1.1,0.51,35.66,66.75,22.05,4.5,3.44,0.9623,2.7789,1.3077,1396.7,164.6,1028.2,896.8,9.64,0.466,64.88,14.26,6.1,10.46,3874.9,2.74,0.445,35.68,58.44,81.37
BATCH_0322,43.07,14.38,3.27,2.18,1.9,0.37,35.8,67.08,22.4,5.1,3.4,0.9443,2.636,1.5023,1408.9,181.7,1153.6,859.7,9.55,0.494,60.1,18.88,7.77,10.33,3191.5,2.67,0.495,30.06,50.93,71.79
BATCH_0323,42.56,13.89,3.38,2.25,1.57,0.5,35.14,65.61,21.42,5.21,3.46,0.9583,2.4709,1.5036,1410.2,210.8,1082.3,924.4,14.44,1.386,56.58,18.72,7.94,10.54,3039.8,2.8,0.506,26.47,50.08,67.19
BATCH_0324,43.51,14.7,3.22,2.31,1.93,0.46,35.18,67.12,22.68,4.97,3.56,0.9351,2.6595,1.3979,1421.7,190.8,1081.7,1015.5,12.77,0.799,57.14,21.92,7.16,10.82,3391.1,3.13,0.506,29.39,53.21,68.65
BATCH_0325,42.45,14.84,2.88,2.36,1.55,0.53,36.37,66.71,23.33,4.52,3.71,0.912,2.8331,1.2194,1404.4,177.9,1102.8,900.9,12.84,1.056,51.95,27.68,5.71,11.29,3275.8,2.6,0.457,28.21,51.63,73.69
BATCH_0326,43.87,13.86,3.15,1.93,1.41,0.47,36.47,69.06,21.81,4.96,3.03,1.0009,2.7292,1.6363,1380.0,181.3,1111.7,891.3,11.62,1.132,70.97,8.99,8.02,9.22,3316.6,2.9,0.453,36.09,59.65,72.37
BATCH_0327,42.42,14.44,2.91,2.19,1.25,0.44,34.84,65.1,22.16,4.47,3.36,0.9354,2.8285,1.3301,1366.3,173.2,1057.7,955.3,13.19,0.845,56.41,20.98,6.16,10.23,3549.2,2.57,0.509,31.28,49.83,72.47
BATCH_0328,43.47,13.47,3.76,2.11,1.24,0.29,35.26,67.14,20.81,5.81,3.25,0.997,2.2959,1.7848,1458.1,171.4,1102.2,958.2,11.77,0.523,68.15,8.24,9.89,9.9,3595.9,3.0,0.498,35.37,56.31,72.54
BATCH_0329,42.87,12.94,3.59,2.27,1.3,0.34,35.6,66.57,20.09,5.57,3.53,1.0204,2.2082,1.5781,1394.9,174.8,1115.8,897.4,11.84,1.12,69.78,5.0,8.79,10.74,3229.4,2.69,0.43,35.25,52.45,73.82
BATCH_0330,44.62,13.43,3.54,2.07,1.37,0.44,35.26,68.93,20.75,5.47,3.2,1.0328,2.3945,1.7112,1389.1,182.0,1080.9,867.2,13.01,1.223,74.65,5.0,9.09,9.73,3560.7,2.44,0.528,36.23,56.83,71.15
BATCH_0331,42.55,13.74,3.59,2.07,1.62,0.44,35.64,66.1,21.35,5.58,3.22,0.9641,2.4249,1.7357,1383.6,179.8,1149.1,946.8,12.44,0.724,59.86,16.04,9.36,9.79,3151.0,2.33,0.465,31.59,51.07,73.07
BATCH_0332,42.7,13.14,3.89,2.47,1.17,0.56,36.45,67.19,20.68,6.12,3.89,0.9915,2.066,1.5717,1406.0,181.9,1096.8,893.6,13.98,1.125,62.64,12.03,9.62,11.84,3480.9,2.41,0.453,31.82,54.73,70.13
BATCH_0333,42.78,12.07,3.34,2.26,1.06,0.39,36.1,66.96,18.89,5.23,3.53,1.0895,2.156,1.4792,1426.8,194.5,1063.8,885.0,11.82,1.44,81.24,5.0,7.87,10.75,3861.0,2.79,0.511,34.78,60.47,74.86
BATCH_0334,43.01,13.24,3.6,2.29,1.28,0.45,34.74,65.9,20.28,5.52,3.5,1.0032,2.249,1.5748,1438.8,189.6,1015.3,960.3,11.65,0.784,66.9,7.68,8.69,10.66,4259.5,2.89,0.468,34.77,60.76,74.11
BATCH_0335,42.85,13.14,3.3,1.9,1.45,0.41,36.3,67.27,20.63,5.19,2.99,1.0204,2.5246,1.7364,1425.3,170.4,1201.8,934.3,12.08,0.856,72.63,5.0,8.69,9.09,3406.4,2.68,0.552,32.92,53.41,68.55
BATCH_0336,42.11,13.83,3.23,2.14,1.58,0.5,36.29,66.1,21.71,5.08,3.35,0.957,2.5756,1.5132,1399.2,170.8,1048.0,948.0,14.67,0.933,59.12,17.66,7.78,10.21,3539.6,3.24,0.495,31.94,51.35,72.74
BATCH_0337,42.55,13.59,2.94,1.96,1.58,0.39,35.05,65.51,20.92,4.52,3.02,0.9928,2.7719,1.4963,1430.7,171.7,1069.2,931.4,12.69,0.874,67.67,8.94,6.87,9.2,3925.4,2.59,0.506,33.28,58.81,71.93
BATCH_0338,44.19,14.23,3.9,1.99,1.59,0.39,34.94,67.93,21.87,5.99,3.07,0.9645,2.4153,1.9544,1463.2,179.9,1080.6,972.2,11.76,0.3,62.74,15.38,10.69,9.33,3470.8,2.99,0.522,33.91,56.98,70.18
BATCH_0339,43.36,13.66,3.12,2.0,1.32,0.49,34.99,66.7,21.01,4.79,3.08,1.0018,2.6688,1.5566,1404.9,207.1,1115.0,896.9,13.96,1.49,67.02,9.68,7.49,9.37,3186.5,2.49,0.477,29.99,55.55,70.95
BATCH_0340,41.33,13.66,3.84,1.79,1.0,0.25,35.01,63.6,21.02,5.91,2.76,0.9389,2.424,2.1461,1451.4,196.9,1074.4,947.3,14.59,1.135,49.78,22.7,11.01,8.39,3538.4,2.11,0.455,30.43,52.24,70.85
BATCH_0341,43.56,13.88,3.83,1.82,1.41,0.44,35.87,67.91,21.65,5.97,2.84,0.9753,2.4564,2.1008,1411.0,159.9,1162.9,933.5,10.6,0.6,63.35,14.28,11.01,8.65,4025.4,2.79,0.48,38.52,57.06,79.99
BATCH_0342,42.39,14.29,3.24,1.84,1.58,0.26,35.06,65.27,22.0,4.98,2.84,0.9403,2.8133,1.7554,1431.6,167.8,1081.7,940.2,13.28,0.793,56.66,20.33,8.4,8.64,3579.4,2.89,0.467,32.28,55.07,73.36
BATCH_0343,42.61,13.58,3.49,2.37,1.5,0.39,35.58,66.15,21.08,5.42,3.68,0.9739,2.3172,1.4716,1411.8,188.2,1111.4,854.0,13.36,0.899,62.03,13.64,8.13,11.2,3245.8,2.3,0.474,30.73,49.48,70.03
BATCH_0344,43.32,13.6,2.8,2.04,1.5,0.45,35.23,66.88,21.0,4.32,3.16,1.0128,2.8107,1.3683,1353.5,178.1,1030.8,956.1,13.68,1.292,71.89,5.98,6.1,9.6,3408.5,2.66,0.412,35.71,56.24,76.43
BATCH_0345,42.73,13.05,3.54,1.86,1.52,0.23,35.17,65.91,20.13,5.46,2.88,1.0172,2.4144,1.9003,1443.0,177.9,1175.6,874.7,11.65,0.685,70.69,5.0,9.61,8.75,3561.9,2.7,0.47,36.14,53.79,75.48
BATCH_0346,41.55,14.17,3.51,1.92,1.35,0.43,35.51,64.44,21.97,5.44,2.97,0.9206,2.61,1.8307,1444.3,149.6,1055.7,906.7,13.55,0.729,49.63,25.56,9.4,9.05,3543.0,2.38,0.492,31.46,52.34,69.68
BATCH_0347,43.69,14.53,3.34,1.94,1.05,0.31,35.91,68.16,22.68,5.21,3.03,0.9503,2.7497,1.7192,1381.3,189.9,1139.9,927.0,10.6,1.2,59.52,20.11,8.69,9.23,3495.9,2.98,0.481,31.97,54.89,71.66
BATCH_0348,42.1,14.65,3.67,2.28,1.25,0.37,34.54,64.32,22.39,5.6,3.48,0.8974,2.4664,1.6101,1425.1,169.4,1184.6,925.8,8.44,0.31,46.21,29.33,8.95,10.58,3513.0,2.78,0.469,30.79,54.64,73.64
BATCH_0349,43.65,13.81,3.07,2.14,1.52,0.33,35.38,67.55,21.37,4.74,3.31,0.9982,2.6522,1.4321,1433.0,196.2,1088.9,922.7,13.23,1.131,69.94,8.5,6.97,10.08,3819.6,2.5,0.464,34.95,55.74,71.94
BATCH_0350,41.62,13.69,3.22,2.03,1.08,0.32,35.52,64.55,21.24,5.0,3.14,0.9563,2.6079,1.5916,1433.7,188.7,1099.2,966.3,13.1,0.713,58.99,16.38,7.94,9.56,3529.9,2.38,0.477,33.54,54.84,74.71
BATCH_0351,44.48,13.6,3.41,2.09,0.8,0.29,36.11,69.61,21.28,5.34,3.27,1.022,2.4735,1.6325,1440.4,187.7,1035.3,928.8,13.25,0.993,75.8,5.0,8.61,9.94,3782.2,2.98,0.479,37.01,60.38,77.1
BATCH_0352,43.34,14.49,3.02,1.9,1.45,0.22,34.6,66.27,22.16,4.61,2.9,0.9539,2.9483,1.5894,1409.9,183.7,1086.5,858.3,14.89,1.069,60.91,17.58,7.31,8.83,3957.8,2.72,0.454,34.33,56.48,74.2
BATCH_0353,43.66,14.73,2.86,2.02,1.48,0.25,35.29,67.48,22.77,4.42,3.13,0.9494,3.0185,1.413,1438.3,139.9,1124.6,880.2,11.83,0.3,65.21,16.07,6.41,9.51,3711.8,2.8,0.509,31.67,56.55,73.9
BATCH_0354,43.81,14.38,2.83,2.54,1.55,0.4,34.68,67.07,22.01,4.34,3.89,0.9671,2.6766,1.1153,1458.1,215.5,1028.1,911.0,8.93,0.676,66.59,12.87,4.91,11.83,3691.3,2.79,0.46,31.54,57.0,78.22
BATCH_0355,43.41,13.12,2.95,1.95,1.26,0.36,36.02,67.85,20.51,4.62,3.05,1.0449,2.6755,1.5137,1410.3,174.9,1066.4,925.4,12.03,0.786,80.19,5.0,7.07,9.28,3608.6,2.76,0.433,38.31,62.23,77.92
BATCH_0356,43.7,13.24,3.53,2.14,1.45,0.37,35.33,67.57,20.47,5.46,3.31,1.0235,2.3339,1.6503,1393.8,185.1,1072.7,992.7,10.6,1.273,71.29,5.0,8.87,10.07,3572.2,2.89,0.505,33.92,55.95,66.08
BATCH_0357,42.8,12.76,3.23,2.08,1.3,0.42,35.09,65.93,19.66,4.98,3.21,1.0447,2.4021,1.5529,1466.0,199.3,1107.2,916.6,12.74,1.037,74.86,5.0,7.77,9.76,3532.9,2.85,0.433,37.3,59.26,75.48
BATCH_0358,43.84,13.77,3.2,2.13,1.3,0.31,34.77,67.21,21.11,4.91,3.26,1.0014,2.5817,1.5056,1358.6,169.6,1123.7,891.9,12.14,1.222,69.21,8.31,7.5,9.93,3730.2,2.48,0.51,35.33,53.06,70.44
BATCH_0359,43.13,14.28,3.15,2.34,1.17,0.37,36.41,67.82,22.46,4.96,3.68,0.9524,2.6019,1.3482,1462.6,144.1,1097.7,904.3,13.53,0.388,63.63,16.38,6.91,11.18,3782.6,2.87,0.481,33.89,57.29,78.91
BATCH_0360,44.14,13.75,3.72,2.27,1.51,0.51,35.15,68.07,21.2,5.74,3.5,0.9931,2.2937,1.6388,1431.7,142.6,1075.0,967.9,11.29,0.316,68.85,8.85,9.29,10.66,3338.8,3.34,0.53,33.1,54.74,69.99
BATCH_0361,42.86,14.03,3.29,2.25,1.39,0.5,36.04,67.01,21.93,5.14,3.51,0.9591,2.5344,1.4623,1448.9,181.2,1094.0,956.8,11.43,0.309,63.04,15.33,7.67,10.7,3221.9,2.56,0.5,31.67,54.0,70.93
BATCH_0362,42.74,13.69,3.47,1.95,1.35,0.44,34.85,65.6,21.02,5.32,2.99,0.9767,2.5286,1.7816,1352.0,144.2,1117.3,939.7,15.6,1.159,60.7,14.46,9.05,9.09,3804.9,2.74,0.489,35.18,51.26,73.07
BATCH_0363,42.34,14.89,3.42,2.19,1.37,0.28,35.54,65.69,23.1,5.3,3.39,0.8971,2.658,1.5631,1478.7,167.7,1136.5,868.0,12.18,0.367,48.72,29.46,8.31,10.32,3537.6,2.69,0.48,28.35,51.14,75.11
BATCH_0364,44.08,13.12,2.87,2.24,1.38,0.35,36.22,69.12,20.57,4.5,3.51,1.0587,2.5688,1.2828,1451.2,170.9,1090.0,976.0,14.81,1.242,83.12,5.0,5.99,10.68,3529.5,3.17,0.452,36.83,56.82,81.94
BATCH_0365,43.43,13.51,3.01,1.98,1.12,0.35,35.38,67.21,20.91,4.66,3.07,1.0164,2.7035,1.52,1356.3,197.8,1184.6,827.0,11.8,1.408,71.72,5.83,7.17,9.34,3556.4,3.1,0.466,34.64,59.97,72.52
BATCH_0366,42.42,14.13,3.42,1.98,1.1,0.4,35.62,65.89,21.95,5.32,3.08,0.9432,2.6149,1.7292,1414.0,173.5,1122.1,890.0,10.77,0.579,57.11,19.85,8.89,9.36,3696.5,2.45,0.508,29.99,53.26,72.32
BATCH_0367,42.93,13.02,2.83,2.27,1.4,0.37,34.95,65.99,20.01,4.34,3.49,1.039,2.5564,1.2462,1435.5,181.5,1060.4,1018.4,13.61,1.067,76.43,5.0,5.61,10.61,3471.6,3.09,0.456,34.77,59.83,75.26
BATCH_0368,43.34,13.62,3.01,2.28,1.23,0.58,35.51,67.19,21.13,4.67,3.53,1.0021,2.5734,1.3223,1487.7,183.9,1099.4,961.2,14.14,0.562,71.67,6.5,6.41,10.76,3468.4,2.4,0.492,35.49,53.56,72.16
BATCH_0369,42.45,13.47,2.94,2.27,0.96,0.31,35.21,65.52,20.79,4.54,3.5,0.9939,2.5845,1.2964,1418.3,183.2,1184.6,981.8,10.1,0.456,70.03,6.76,6.11,10.66,3606.2,2.6,0.444,35.96,57.7,73.98
BATCH_0370,42.56,13.48,2.98,1.87,1.39,0.25,34.89,65.37,20.7,4.58,2.88,1.0007,2.7737,1.5915,1453.1,180.8,1121.1,901.4,11.95,0.723,69.87,6.64,7.27,8.76,3309.0,2.69,0.454,33.66,52.33,75.29
BATCH_0371,43.86,13.37,2.93,2.02,1.31,0.48,36.4,68.96,21.01,4.61,3.17,1.0381,2.7011,1.4512,1447.9,208.6,1075.2,786.1,11.89,1.138,78.75,5.0,6.84,9.66,3778.6,2.89,0.465,39.82,58.1,77.28
BATCH_0372,43.14,13.16,2.97,2.27,1.45,0.4,35.51,66.9,20.4,4.6,3.52,1.0303,2.5125,1.3059,1450.8,187.2,1172.3,901.6,11.86,0.65,76.96,5.0,6.23,10.71,3492.8,3.09,0.519,36.53,53.69,75.58
BATCH_0373,42.63,13.65,3.5,1.83,1.2,0.24,35.65,66.24,21.22,5.44,2.85,0.977,2.5587,1.9104,1391.1,161.2,1179.9,894.1,13.54,0.91,62.99,13.32,9.6,8.67,3601.0,2.62,0.503,33.56,54.5,70.76
BATCH_0374,43.65,13.59,3.26,2.21,1.28,0.39,36.21,68.42,21.31,5.11,3.46,1.0055,2.4871,1.4761,1418.0,192.4,1046.7,917.9,15.37,1.47,69.59,8.6,7.68,10.53,3937.3,2.81,0.49,36.23,58.59,70.36
BATCH_0375,43.79,13.66,3.32,1.93,1.17,0.25,35.8,68.2,21.28,5.17,3.01,1.007,2.6016,1.7162,1434.4,159.3,1075.0,917.6,13.99,0.674,73.09,5.86,8.6,9.16,3878.3,3.08,0.448,39.8,59.56,77.09
BATCH_0376,43.2,14.04,3.44,1.74,1.54,0.38,36.16,67.67,21.99,5.38,2.73,0.9692,2.7103,1.9694,1444.8,191.7,1180.4,974.1,14.52,1.16,61.86,16.39,9.64,8.32,3672.8,2.81,0.506,33.75,53.96,73.14
BATCH_0377,45.22,12.16,3.14,2.35,1.6,0.66,34.67,69.21,18.62,4.8,3.6,1.1491,2.2172,1.3341,1423.8,173.5,1083.4,932.7,14.93,1.742,92.92,5.0,6.63,10.95,3586.0,2.88,0.462,39.54,65.26,85.76
BATCH_0378,41.79,13.24,2.51,1.94,1.55,0.36,35.79,65.07,20.62,3.92,3.03,1.0104,2.9702,1.2937,1436.1,157.2,1139.9,897.8,12.52,0.608,73.5,5.0,5.26,9.21,3282.1,2.45,0.509,34.02,55.65,71.64
BATCH_0379,40.69,14.46,3.21,2.05,1.6,0.57,35.03,62.63,22.25,4.94,3.15,0.8911,2.7502,1.5666,1437.0,204.1,1022.3,946.6,12.3,0.725,42.69,31.6,7.75,9.59,3117.8,2.98,0.506,26.97,49.56,65.88
BATCH_0380,43.92,15.04,3.37,2.07,1.47,0.52,35.8,68.41,23.42,5.25,3.22,0.9249,2.7658,1.6279,1392.7,170.2,1084.6,835.8,12.71,0.52,56.22,24.73,8.45,9.81,3613.3,3.06,0.466,34.53,53.84,78.42
BATCH_0381,43.14,15.43,2.7,2.22,1.26,0.38,35.1,66.48,23.78,4.16,3.43,0.9006,3.1336,1.2147,1376.0,193.2,1097.8,963.5,12.76,0.847,51.91,29.02,5.23,10.43,3874.1,2.2,0.424,30.23,54.85,80.68
BATCH_0382,44.78,13.58,2.95,2.24,1.31,0.32,36.17,70.15,21.28,4.62,3.51,1.0409,2.6191,1.3175,1403.3,179.3,1167.1,842.6,12.53,1.233,81.41,5.0,6.31,10.67,3648.4,3.19,0.478,37.14,60.26,77.69
BATCH_0383,42.56,13.38,3.32,2.21,1.42,0.15,36.22,66.72,20.98,5.21,3.46,0.9921,2.4207,1.5069,1362.2,176.4,1074.9,920.2,11.8,1.371,65.94,10.41,7.96,10.52,3026.5,2.89,0.505,31.55,52.0,69.05
BATCH_0384,42.85,12.56,3.55,1.94,1.23,0.36,34.91,65.84,19.29,5.45,2.99,1.0533,2.2851,1.8254,1429.5,179.1,1127.4,866.4,11.39,0.91,75.2,5.0,9.4,9.09,4074.5,2.77,0.513,38.16,58.41,75.84
BATCH_0385,44.27,12.67,3.01,2.31,1.26,0.44,36.37,69.57,19.91,4.73,3.63,1.091,2.3804,1.3011,1393.5,173.3,1071.6,945.5,12.8,1.335,87.58,5.0,6.38,11.06,4226.9,3.32,0.421,41.89,70.06,85.41
BATCH_0386,43.13,14.39,3.42,2.16,1.49,0.39,36.47,67.89,22.66,5.39,3.4,0.9413,2.5779,1.5856,1482.1,157.8,1107.0,922.6,13.72,0.3,60.11,19.61,8.53,10.34,3164.1,2.85,0.488,33.62,52.08,74.86
BATCH_0387,41.96,14.82,3.72,2.12,1.05,0.29,35.46,65.02,22.96,5.77,3.28,0.8864,2.5381,1.7581,1363.2,155.1,1201.3,1002.4,10.82,0.676,42.69,33.63,9.73,9.98,3278.8,2.8,0.529,27.61,50.22,68.18
BATCH_0388,42.63,14.57,3.12,2.16,1.21,0.3,35.78,66.38,22.69,4.86,3.36,0.9279,2.7607,1.4488,1444.1,173.3,1057.3,894.3,13.55,0.498,56.99,22.06,7.21,10.21,3570.6,2.8,0.422,31.37,57.11,75.7
BATCH_0389,44.07,14.36,3.33,2.18,1.45,0.36,35.9,68.76,22.41,5.2,3.4,0.9659,2.6059,1.5278,1422.9,183.2,1131.7,924.0,15.66,0.889,64.64,15.48,8.02,10.35,3788.6,2.79,0.48,33.41,58.25,76.76
BATCH_0390,43.07,13.41,3.46,2.12,1.44,0.32,35.67,66.94,20.84,5.38,3.29,1.0,2.4034,1.6364,1359.9,183.5,1145.2,911.0,14.65,1.375,66.3,9.73,8.7,10.01,3336.3,2.78,0.478,33.83,52.23,72.85
BATCH_0391,43.19,13.23,2.87,2.35,1.62,0.51,34.54,65.98,20.21,4.39,3.59,1.0278,2.5329,1.2229,1417.6,208.4,1098.9,954.5,10.42,1.098,73.68,5.0,5.56,10.92,3561.0,2.78,0.44,36.54,58.58,73.63
BATCH_0392,42.61,13.49,3.06,2.17,1.49,0.1,35.15,65.7,20.8,4.72,3.34,0.9941,2.5792,1.4129,1455.8,201.5,1047.5,881.1,11.82,0.726,69.47,7.24,6.86,10.17,3656.0,2.22,0.446,37.68,55.76,77.39
BATCH_0393,42.82,13.82,3.15,1.95,1.42,0.42,35.08,65.96,21.29,4.86,3.0,0.9787,2.7101,1.6217,1444.6,202.1,1081.8,968.6,12.6,0.696,65.11,11.92,7.81,9.12,4045.8,3.48,0.499,35.25,56.41,74.2
BATCH_0394,43.22,14.53,3.02,2.18,1.57,0.31,35.49,66.99,22.52,4.68,3.38,0.9453,2.7922,1.3839,1404.2,164.7,1058.9,868.5,11.15,0.784,60.74,18.74,6.68,10.29,3371.1,2.84,0.465,33.18,56.24,75.07
