Batch_ID,Clinker_CaO,Clinker_SiO2,Clinker_Al2O3,Clinker_Fe2O3,LSF,SM,AM,Free_CaO_pct,C3S_pct,C2S_pct,C3A_pct,C4AF_pct
BATCH_0236,66.04,21.93,4.85,3.1,0.9538,2.7577,1.5647,1.011,58.91,18.43,7.61,9.44
BATCH_0237,65.93,22.36,4.63,3.16,0.9387,2.8724,1.4674,0.441,59.17,19.48,6.93,9.6
BATCH_0238,67.11,21.82,4.02,2.99,0.9888,3.1112,1.3446,1.182,69.45,10.16,5.6,9.1
BATCH_0239,67.04,22.37,5.6,3.37,0.937,2.4933,1.6638,0.783,55.24,22.46,9.15,10.25
BATCH_0240,64.6,22.23,4.38,3.32,0.9275,2.8872,1.3173,0.594,55.49,21.87,5.98,10.11
BATCH_0241,66.8,19.82,5.11,3.27,1.0477,2.3666,1.5632,0.604,78.51,5.0,8.01,9.94
BATCH_0242,65.75,20.4,4.85,2.95,1.0138,2.6142,1.6411,1.119,69.37,6.15,7.85,8.99
BATCH_0243,69.52,21.9,5.54,3.67,0.9883,2.3781,1.5073,0.911,68.29,11.26,8.46,11.18
BATCH_0244,67.33,21.5,5.19,3.21,0.9827,2.5601,1.6181,0.462,67.22,10.93,8.33,9.76
BATCH_0245,65.65,21.48,4.57,2.95,0.972,2.8547,1.5503,0.762,64.22,13.13,7.13,8.98
BATCH_0246,66.32,23.44,4.77,3.57,0.9003,2.8118,1.337,1.099,48.91,30.3,6.6,10.85
BATCH_0247,69.93,21.63,5.69,3.21,1.0067,2.4312,1.7734,0.3,74.4,5.88,9.65,9.76
BATCH_0248,67.6,21.28,5.54,2.4,0.9973,2.6819,2.3124,1.489,65.05,11.94,10.63,7.29
BATCH_0249,66.9,23.47,4.34,3.27,0.9157,3.0838,1.3246,0.899,54.1,26.49,5.95,9.96
BATCH_0250,66.7,21.86,5.26,3.9,0.9519,2.3854,1.3477,0.448,61.27,16.46,7.34,11.88
BATCH_0251,66.25,22.63,4.6,3.37,0.9322,2.8388,1.3655,0.375,58.37,20.84,6.49,10.25
BATCH_0252,66.32,21.44,5.36,3.39,0.9655,2.4506,1.5804,0.55,62.23,14.54,8.46,10.32
BATCH_0253,67.63,21.89,5.22,3.08,0.972,2.6365,1.6943,0.583,64.95,13.77,8.62,9.38
BATCH_0254,69.6,21.54,4.43,3.26,1.0274,2.7996,1.3604,1.024,79.05,5.0,6.23,9.92
BATCH_0255,68.98,23.02,4.83,2.97,0.9557,2.953,1.6284,0.642,64.98,16.97,7.78,9.02
BATCH_0256,64.58,20.92,5.38,3.46,0.9599,2.3662,1.553,0.829,58.15,16.11,8.39,10.54
BATCH_0257,64.86,21.78,4.93,3.71,0.9359,2.5223,1.33,0.801,55.22,20.78,6.79,11.28
BATCH_0258,66.11,19.76,4.58,3.43,1.0483,2.4656,1.3353,0.62,79.16,5.0,6.34,10.44
BATCH_0259,67.91,21.21,4.17,3.36,1.0203,2.8184,1.2406,0.911,76.47,5.0,5.36,10.22
BATCH_0260,69.54,22.19,4.0,3.13,1.0083,3.1094,1.277,2.366,71.46,9.7,5.3,9.54
BATCH_0261,64.57,20.57,3.74,3.14,1.0069,2.9942,1.191,0.985,71.09,5.36,4.59,9.54
BATCH_0262,67.94,22.53,4.54,3.38,0.9605,2.8456,1.3413,0.908,64.77,15.73,6.3,10.29
BATCH_0263,66.94,21.93,4.36,2.83,0.9775,3.0513,1.5399,1.058,66.61,12.63,6.76,8.61
BATCH_0264,69.6,22.84,5.8,3.39,0.952,2.4872,1.7117,0.413,61.88,18.81,9.63,10.31
BATCH_0265,65.94,21.32,5.08,3.22,0.9714,2.5684,1.5793,1.272,61.02,15.09,8.02,9.79
BATCH_0266,67.88,20.24,4.9,3.61,1.0461,2.3777,1.3587,0.858,78.95,5.0,6.89,10.98
BATCH_0267,63.85,20.44,5.15,2.55,0.9815,2.6549,2.018,0.527,62.0,11.81,9.32,7.76
BATCH_0268,66.53,21.83,4.64,3.23,0.9673,2.7764,1.4366,0.3,64.83,13.67,6.82,9.82
BATCH_0269,66.59,21.51,4.67,3.24,0.9802,2.7193,1.4415,0.885,66.19,11.73,6.89,9.86
BATCH_0270,68.07,21.19,4.34,3.61,1.0177,2.6658,1.2035,1.43,73.93,5.0,5.4,10.98
BATCH_0271,67.99,20.02,4.72,2.71,1.0708,2.695,1.7459,0.946,82.98,5.0,7.94,8.23
BATCH_0272,67.9,23.19,5.02,3.39,0.9281,2.7589,1.4801,0.519,57.81,22.87,7.56,10.31
BATCH_0273,66.62,20.85,5.15,3.25,0.9991,2.4828,1.5879,0.557,69.47,7.37,8.16,9.88
BATCH_0274,65.44,21.31,5.4,3.39,0.9575,2.4244,1.5946,0.606,59.09,16.51,8.58,10.31
BATCH_0275,67.86,22.78,4.61,2.74,0.9544,3.1021,1.6846,1.165,62.15,18.43,7.58,8.32
BATCH_0276,67.09,21.89,4.6,3.03,0.9753,2.8702,1.5203,0.508,67.45,11.88,7.07,9.21
BATCH_0277,67.91,20.05,5.09,3.04,1.0572,2.4664,1.6745,1.504,77.57,5.0,8.35,9.25
BATCH_0278,65.28,19.71,4.91,3.27,1.0329,2.4096,1.5037,1.102,72.25,5.0,7.49,9.94
BATCH_0279,65.64,19.95,5.16,3.44,1.021,2.3199,1.4976,0.88,70.84,5.0,7.84,10.48
BATCH_0280,67.94,21.1,4.76,2.91,1.019,2.7509,1.6374,0.892,74.68,5.0,7.7,8.85
BATCH_0281,70.43,21.87,5.3,3.19,1.0107,2.5757,1.6631,0.608,75.96,5.4,8.66,9.7
BATCH_0282,65.67,19.82,4.54,2.88,1.0457,2.6741,1.5773,1.798,73.39,5.0,7.15,8.75
BATCH_0283,70.05,21.78,5.21,3.14,1.011,2.6074,1.6568,0.744,75.81,5.26,8.49,9.57
BATCH_0284,65.39,20.7,5.62,3.23,0.9789,2.3396,1.7408,0.926,60.62,13.61,9.43,9.82
BATCH_0285,70.23,20.23,4.88,3.08,1.0888,2.5416,1.5858,1.211,87.64,5.0,7.73,9.37
BATCH_0286,66.48,22.22,4.54,3.06,0.9544,2.9214,1.4839,0.666,62.76,16.36,6.86,9.32
BATCH_0287,68.03,21.88,5.59,3.34,0.9698,2.449,1.6744,0.518,65.12,13.61,9.17,10.17
BATCH_0288,65.09,20.3,4.44,3.23,1.0128,2.6474,1.3761,0.3,72.94,5.0,6.31,9.82
BATCH_0289,65.79,19.98,5.91,2.88,1.0137,2.273,2.0549,0.708,68.19,5.83,10.8,8.75
BATCH_0290,64.01,22.18,4.8,3.56,0.9122,2.6528,1.3506,0.67,50.44,25.54,6.71,10.82
BATCH_0291,67.64,19.42,4.34,3.17,1.0975,2.5857,1.3708,0.963,88.04,5.0,6.15,9.64
BATCH_0292,66.49,19.81,4.69,3.24,1.052,2.4965,1.4454,0.929,78.95,5.0,6.94,9.87
BATCH_0293,68.18,22.38,5.05,3.1,0.9638,2.7448,1.6271,0.42,65.43,14.8,8.13,9.44
BATCH_0294,66.28,21.13,4.79,3.59,0.9855,2.5217,1.3352,0.561,66.91,10.1,6.63,10.92
BATCH_0295,65.13,21.25,4.59,3.01,0.9727,2.7995,1.5254,0.969,62.45,13.81,7.06,9.15
BATCH_0296,66.41,21.03,5.53,3.29,0.9817,2.3825,1.6815,0.825,63.59,12.31,9.1,10.01
BATCH_0297,66.15,22.04,5.74,2.53,0.9418,2.6629,2.2659,0.325,56.26,20.74,10.93,7.71
BATCH_0298,66.5,21.87,5.42,3.44,0.9504,2.4657,1.5754,0.3,60.63,16.95,8.55,10.48
BATCH_0299,65.92,22.57,4.79,3.73,0.9238,2.6483,1.285,1.008,53.56,24.3,6.39,11.35
BATCH_0300,67.39,21.54,4.36,3.13,0.997,2.8768,1.3925,0.584,72.67,6.95,6.25,9.53
BATCH_0301,67.26,20.34,5.27,3.4,1.0271,2.3457,1.5524,1.093,72.23,5.0,8.23,10.34
BATCH_0302,63.66,22.89,5.37,2.74,0.8803,2.8218,1.9574,0.71,39.84,35.57,9.59,8.35
BATCH_0303,66.49,21.12,4.58,3.42,0.9947,2.6422,1.3391,0.668,70.08,7.68,6.34,10.4
BATCH_0304,66.56,22.42,5.08,3.07,0.9392,2.7518,1.6537,1.015,56.33,21.79,8.26,9.34
BATCH_0305,67.51,21.57,4.72,3.15,0.9914,2.743,1.5,0.755,70.02,9.02,7.18,9.57
BATCH_0306,67.95,20.69,5.43,3.42,1.0192,2.338,1.5861,1.046,72.16,5.0,8.59,10.41
BATCH_0307,66.75,21.59,4.91,3.12,0.9765,2.6889,1.5731,0.671,65.44,12.52,7.73,9.49
BATCH_0308,66.09,20.22,4.88,2.84,1.0275,2.622,1.7193,0.951,73.51,5.0,8.12,8.63
BATCH_0309,64.69,23.99,4.77,3.31,0.862,2.9697,1.4428,0.754,39.69,38.83,7.05,10.06
BATCH_0310,64.52,21.48,4.2,2.48,0.966,3.2143,1.6966,0.811,62.52,14.41,6.95,7.54
BATCH_0311,66.76,19.21,4.36,3.36,1.091,2.4902,1.2987,1.289,84.41,5.0,5.87,10.21
BATCH_0312,65.79,19.73,4.88,3.25,1.0406,2.426,1.5033,1.033,73.85,5.0,7.45,9.89
BATCH_0313,64.56,21.02,4.92,3.65,0.9617,2.4512,1.3473,0.593,60.44,14.66,6.86,11.12
BATCH_0314,66.1,20.81,4.65,3.04,1.0042,2.7079,1.5317,1.096,69.31,7.38,7.19,9.24
BATCH_0315,67.86,21.5,4.28,3.08,1.0078,2.9177,1.3889,0.828,75.31,5.0,6.13,9.38
BATCH_0316,66.76,22.38,4.55,3.14,0.9516,2.9139,1.4497,0.483,64.22,15.71,6.74,9.54
BATCH_0317,67.29,20.43,4.91,3.45,1.0297,2.4435,1.4248,0.807,76.37,5.0,7.19,10.49
BATCH_0318,68.95,23.55,4.36,3.51,0.9386,2.9931,1.2437,0.317,65.01,18.49,5.63,10.67
BATCH_0319,70.37,20.78,6.07,3.11,1.0428,2.2614,1.9497,0.459,79.77,5.0,10.82,9.48
BATCH_0320,69.82,22.14,5.11,3.43,0.9922,2.5916,1.4891,0.438,72.39,8.88,7.74,10.45
BATCH_0321,66.75,22.05,4.5,3.44,0.9623,2.7789,1.3077,0.466,64.88,14.26,6.1,10.46
BATCH_0322,67.08,22.4,5.1,3.4,0.9443,2.636,1.5023,0.494,60.1,18.88,7.77,10.33
BATCH_0323,65.61,21.42,5.21,3.46,0.9583,2.4709,1.5036,1.386,56.58,18.72,7.94,10.54
BATCH_0324,67.12,22.68,4.97,3.56,0.9351,2.6595,1.3979,0.799,57.14,21.92,7.16,10.82
BATCH_0325,66.71,23.33,4.52,3.71,0.912,2.8331,1.2194,1.056,51.95,27.68,5.71,11.29
BATCH_0326,69.06,21.81,4.96,3.03,1.0009,2.7292,1.6363,1.132,70.97,8.99,8.02,9.22
BATCH_0327,65.1,22.16,4.47,3.36,0.9354,2.8285,1.3301,0.845,56.41,20.98,6.16,10.23
BATCH_0328,67.14,20.81,5.81,3.25,0.997,2.2959,1.7848,0.523,68.15,8.24,9.89,9.9
BATCH_0329,66.57,20.09,5.57,3.53,1.0204,2.2082,1.5781,1.12,69.78,5.0,8.79,10.74
BATCH_0330,68.93,20.75,5.47,3.2,1.0328,2.3945,1.7112,1.223,74.65,5.0,9.09,9.73
BATCH_0331,66.1,21.35,5.58,3.22,0.9641,2.4249,1.7357,0.724,59.86,16.04,9.36,9.79
BATCH_0332,67.19,20.68,6.12,3.89,0.9915,2.066,1.5717,1.125,62.64,12.03,9.62,11.84
BATCH_0333,66.96,18.89,5.23,3.53,1.0895,2.156,1.4792,1.44,81.24,5.0,7.87,10.75
BATCH_0334,65.9,20.28,5.52,3.5,1.0032,2.249,1.5748,0.784,66.9,7.68,8.69,10.66
BATCH_0335,67.27,20.63,5.19,2.99,1.0204,2.5246,1.7364,0.856,72.63,5.0,8.69,9.09
BATCH_0336,66.1,21.71,5.08,3.35,0.957,2.5756,1.5132,0.933,59.12,17.66,7.78,10.21
BATCH_0337,65.51,20.92,4.52,3.02,0.9928,2.7719,1.4963,0.874,67.67,8.94,6.87,9.2
BATCH_0338,67.93,21.87,5.99,3.07,0.9645,2.4153,1.9544,0.3,62.74,15.38,10.69,9.33
BATCH_0339,66.7,21.01,4.79,3.08,1.0018,2.6688,1.5566,1.49,67.02,9.68,7.49,9.37
BATCH_0340,63.6,21.02,5.91,2.76,0.9389,2.424,2.1461,1.135,49.78,22.7,11.01,8.39
BATCH_0341,67.91,21.65,5.97,2.84,0.9753,2.4564,2.1008,0.6,63.35,14.28,11.01,8.65
BATCH_0342,65.27,22.0,4.98,2.84,0.9403,2.8133,1.7554,0.793,56.66,20.33,8.4,8.64
BATCH_0343,66.15,21.08,5.42,3.68,0.9739,2.3172,1.4716,0.899,62.03,13.64,8.13,11.2
BATCH_0344,66.88,21.0,4.32,3.16,1.0128,2.8107,1.3683,1.292,71.89,5.98,6.1,9.6
BATCH_0345,65.91,20.13,5.46,2.88,1.0172,2.4144,1.9003,0.685,70.69,5.0,9.61,8.75
BATCH_0346,64.44,21.97,5.44,2.97,0.9206,2.61,1.8307,0.729,49.63,25.56,9.4,9.05
BATCH_0347,68.16,22.68,5.21,3.03,0.9503,2.7497,1.7192,1.2,59.52,20.11,8.69,9.23
BATCH_0348,64.32,22.39,5.6,3.48,0.8974,2.4664,1.6101,0.31,46.21,29.33,8.95,10.58
BATCH_0349,67.55,21.37,4.74,3.31,0.9982,2.6522,1.4321,1.131,69.94,8.5,6.97,10.08
BATCH_0350,64.55,21.24,5.0,3.14,0.9563,2.6079,1.5916,0.713,58.99,16.38,7.94,9.56
BATCH_0351,69.61,21.28,5.34,3.27,1.022,2.4735,1.6325,0.993,75.8,5.0,8.61,9.94
BATCH_0352,66.27,22.16,4.61,2.9,0.9539,2.9483,1.5894,1.069,60.91,17.58,7.31,8.83
BATCH_0353,67.48,22.77,4.42,3.13,0.9494,3.0185,1.413,0.3,65.21,16.07,6.41,9.51
BATCH_0354,67.07,22.01,4.34,3.89,0.9671,2.6766,1.1153,0.676,66.59,12.87,4.91,11.83
BATCH_0355,67.85,20.51,4.62,3.05,1.0449,2.6755,1.5137,0.786,80.19,5.0,7.07,9.28
BATCH_0356,67.57,20.47,5.46,3.31,1.0235,2.3339,1.6503,1.273,71.29,5.0,8.87,10.07
BATCH_0357,65.93,19.66,4.98,3.21,1.0447,2.4021,1.5529,1.037,74.86,5.0,7.77,9.76
BATCH_0358,67.21,21.11,4.91,3.26,1.0014,2.5817,1.5056,1.222,69.21,8.31,7.5,9.93
BATCH_0359,67.82,22.46,4.96,3.68,0.9524,2.6019,1.3482,0.388,63.63,16.38,6.91,11.18
BATCH_0360,68.07,21.2,5.74,3.5,0.9931,2.2937,1.6388,0.316,68.85,8.85,9.29,10.66
BATCH_0361,67.01,21.93,5.14,3.51,0.9591,2.5344,1.4623,0.309,63.04,15.33,7.67,10.7
BATCH_0362,65.6,21.02,5.32,2.99,0.9767,2.5286,1.7816,1.159,60.7,14.46,9.05,9.09
BATCH_0363,65.69,23.1,5.3,3.39,0.8971,2.658,1.5631,0.367,48.72,29.46,8.31,10.32
BATCH_0364,69.12,20.57,4.5,3.51,1.0587,2.5688,1.2828,1.242,83.12,5.0,5.99,10.68
BATCH_0365,67.21,20.91,4.66,3.07,1.0164,2.7035,1.52,1.408,71.72,5.83,7.17,9.34
BATCH_0366,65.89,21.95,5.32,3.08,0.9432,2.6149,1.7292,0.579,57.11,19.85,8.89,9.36
BATCH_0367,65.99,20.01,4.34,3.49,1.039,2.5564,1.2462,1.067,76.43,5.0,5.61,10.61
BATCH_0368,67.19,21.13,4.67,3.53,1.0021,2.5734,1.3223,0.562,71.67,6.5,6.41,10.76
BATCH_0369,65.52,20.79,4.54,3.5,0.9939,2.5845,1.2964,0.456,70.03,6.76,6.11,10.66
BATCH_0370,65.37,20.7,4.58,2.88,1.0007,2.7737,1.5915,0.723,69.87,6.64,7.27,8.76
BATCH_0371,68.96,21.01,4.61,3.17,1.0381,2.7011,1.4512,1.138,78.75,5.0,6.84,9.66
BATCH_0372,66.9,20.4,4.6,3.52,1.0303,2.5125,1.3059,0.65,76.96,5.0,6.23,10.71
BATCH_0373,66.24,21.22,5.44,2.85,0.977,2.5587,1.9104,0.91,62.99,13.32,9.6,8.67
BATCH_0374,68.42,21.31,5.11,3.46,1.0055,2.4871,1.4761,1.47,69.59,8.6,7.68,10.53
BATCH_0375,68.2,21.28,5.17,3.01,1.007,2.6016,1.7162,0.674,73.09,5.86,8.6,9.16
BATCH_0376,67.67,21.99,5.38,2.73,0.9692,2.7103,1.9694,1.16,61.86,16.39,9.64,8.32
BATCH_0377,69.21,18.62,4.8,3.6,1.1491,2.2172,1.3341,1.742,92.92,5.0,6.63,10.95
BATCH_0378,65.07,20.62,3.92,3.03,1.0104,2.9702,1.2937,0.608,73.5,5.0,5.26,9.21
BATCH_0379,62.63,22.25,4.94,3.15,0.8911,2.7502,1.5666,0.725,42.69,31.6,7.75,9.59
BATCH_0380,68.41,23.42,5.25,3.22,0.9249,2.7658,1.6279,0.52,56.22,24.73,8.45,9.81
BATCH_0381,66.48,23.78,4.16,3.43,0.9006,3.1336,1.2147,0.847,51.91,29.02,5.23,10.43
BATCH_0382,70.15,21.28,4.62,3.51,1.0409,2.6191,1.3175,1.233,81.41,5.0,6.31,10.67
BATCH_0383,66.72,20.98,5.21,3.46,0.9921,2.4207,1.5069,1.371,65.94,10.41,7.96,10.52
BATCH_0384,65.84,19.29,5.45,2.99,1.0533,2.2851,1.8254,0.91,75.2,5.0,9.4,9.09
BATCH_0385,69.57,19.91,4.73,3.63,1.091,2.3804,1.3011,1.335,87.58,5.0,6.38,11.06
BATCH_0386,67.89,22.66,5.39,3.4,0.9413,2.5779,1.5856,0.3,60.11,19.61,8.53,10.34
BATCH_0387,65.02,22.96,5.77,3.28,0.8864,2.5381,1.7581,0.676,42.69,33.63,9.73,9.98
BATCH_0388,66.38,22.69,4.86,3.36,0.9279,2.7607,1.4488,0.498,56.99,22.06,7.21,10.21
BATCH_0389,68.76,22.41,5.2,3.4,0.9659,2.6059,1.5278,0.889,64.64,15.48,8.02,10.35
BATCH_0390,66.94,20.84,5.38,3.29,1.0,2.4034,1.6364,1.375,66.3,9.73,8.7,10.01
BATCH_0391,65.98,20.21,4.39,3.59,1.0278,2.5329,1.2229,1.098,73.68,5.0,5.56,10.92
BATCH_0392,65.7,20.8,4.72,3.34,0.9941,2.5792,1.4129,0.726,69.47,7.24,6.86,10.17
BATCH_0393,65.96,21.29,4.86,3.0,0.9787,2.7101,1.6217,0.696,65.11,11.92,7.81,9.12
BATCH_0394,66.99,22.52,4.68,3.38,0.9453,2.7922,1.3839,0.784,60.74,18.74,6.68,10.29
BATCH_0395,66.75,22.03,4.33,3.14,0.9686,2.9505,1.3789,0.958,65.6,13.67,6.16,9.55
BATCH_0396,68.33,21.94,5.44,3.41,0.9736,2.4809,1.5968,1.105,64.07,14.57,8.65,10.36
BATCH_0397,67.83,21.97,5.62,3.39,0.9627,2.4393,1.6604,0.3,64.05,14.67,9.17,10.3
BATCH_0398,65.94,20.85,4.69,3.2,0.9979,2.6408,1.4641,1.154,67.04,9.19,7.01,9.75
BATCH_0399,67.13,20.73,5.05,2.72,1.0192,2.6673,1.8557,0.759,73.08,5.0,8.78,8.28
BATCH_0400,65.08,20.29,4.51,3.47,1.0095,2.543,1.2998,1.189,69.51,5.73,6.08,10.56
BATCH_0401,69.12,20.47,5.62,3.25,1.0447,2.3048,1.7282,0.894,77.61,5.0,9.4,9.9
BATCH_0402,65.6,23.14,3.63,3.17,0.9212,3.4014,1.1472,0.485,58.47,22.24,4.27,9.64
BATCH_0403,67.05,20.2,5.09,3.82,1.0289,2.2661,1.3315,1.002,74.3,5.0,7.02,11.64
BATCH_0404,67.68,21.17,4.76,2.95,1.0118,2.7477,1.6135,1.355,72.13,6.27,7.62,8.97
BATCH_0405,67.97,21.18,3.95,3.49,1.025,2.8471,1.1318,1.047,78.85,5.0,4.56,10.62
BATCH_0406,65.73,20.03,5.45,3.04,1.0176,2.3599,1.7915,1.062,68.35,5.86,9.29,9.25
BATCH_0407,67.6,22.18,5.09,3.15,0.9623,2.6907,1.6126,0.679,63.11,15.97,8.14,9.6
BATCH_0408,67.81,20.84,4.57,3.08,1.03,2.725,1.4858,0.424,79.08,5.0,6.91,9.36
BATCH_0409,66.61,19.81,5.22,3.26,1.0432,2.3359,1.6024,1.133,75.01,5.0,8.32,9.92
BATCH_0410,64.25,21.53,4.77,3.27,0.943,2.6803,1.4595,1.504,53.57,21.32,7.11,9.94
BATCH_0411,66.73,22.76,5.18,3.42,0.9245,2.6448,1.5147,0.883,54.0,24.52,7.95,10.41
BATCH_0412,67.24,20.5,4.83,3.71,1.025,2.402,1.3019,1.138,73.43,5.0,6.52,11.28
BATCH_0413,64.42,21.89,5.35,3.41,0.9213,2.4993,1.5712,0.347,51.68,23.76,8.42,10.36
BATCH_0414,66.23,20.15,4.86,3.68,1.0247,2.3588,1.3186,0.502,74.8,5.0,6.64,11.21
BATCH_0415,66.13,19.49,5.23,3.25,1.0501,2.2986,1.6116,1.309,73.4,5.0,8.37,9.88
BATCH_0416,64.93,20.16,5.57,3.47,0.993,2.2308,1.6027,0.835,63.31,10.04,8.87,10.57
BATCH_0417,66.83,21.96,5.54,3.2,0.9517,2.5139,1.7307,0.3,61.15,16.84,9.26,9.74
BATCH_0418,65.73,21.3,5.08,2.71,0.9738,2.7344,1.8712,1.334,60.81,15.19,8.86,8.26
BATCH_0419,67.06,22.13,5.52,2.99,0.9508,2.603,1.847,0.435,59.5,18.56,9.56,9.09
BATCH_0420,67.51,21.35,5.0,3.16,0.9953,2.6164,1.5823,0.655,70.19,8.26,7.9,9.62
BATCH_0421,66.75,19.66,5.21,2.36,1.0624,2.5963,2.2039,1.447,75.63,5.0,9.8,7.19
BATCH_0422,66.28,21.74,4.7,3.39,0.9645,2.6889,1.3879,0.412,64.83,13.43,6.73,10.3
BATCH_0423,65.74,22.3,4.74,2.6,0.9415,3.0411,1.8258,0.642,58.15,20.07,8.17,7.9
BATCH_0424,67.16,22.06,4.84,3.28,0.9636,2.7169,1.4752,1.053,62.71,15.93,7.27,9.98
BATCH_0425,65.65,22.13,5.43,3.25,0.93,2.5485,1.668,0.847,53.84,22.83,8.88,9.9
BATCH_0426,68.88,21.57,4.34,3.59,1.0138,2.7224,1.209,0.941,77.19,5.0,5.42,10.92
BATCH_0427,67.12,21.6,5.56,2.7,0.9741,2.6147,2.0605,0.583,63.38,14.11,10.17,8.21
BATCH_0428,66.63,20.41,5.01,3.11,1.0223,2.5106,1.6093,0.972,72.08,5.0,8.01,9.48
BATCH_0429,70.2,20.41,5.35,3.51,1.066,2.3046,1.5237,0.66,85.2,5.0,8.23,10.68
BATCH_0430,64.23,20.44,3.49,3.2,1.0114,3.0546,1.0897,1.589,69.85,5.92,3.83,9.75
BATCH_0431,67.62,21.69,5.18,2.99,0.9814,2.6559,1.7302,0.646,66.78,11.82,8.66,9.1
BATCH_0432,66.4,20.91,4.99,2.92,0.9994,2.6427,1.7116,1.654,65.12,10.83,8.3,8.88
BATCH_0433,68.21,21.03,5.62,3.22,1.0073,2.3778,1.7475,0.419,71.82,6.1,9.46,9.79
BATCH_0434,68.59,22.48,5.16,3.31,0.9622,2.6533,1.5613,0.729,64.54,15.76,8.09,10.06
BATCH_0435,67.63,20.8,5.14,3.05,1.0188,2.5407,1.688,1.316,71.73,5.51,8.47,9.27
BATCH_0436,64.91,21.3,4.54,3.45,0.9639,2.6662,1.3182,0.945,61.11,14.97,6.21,10.49
BATCH_0437,63.95,20.3,4.41,3.29,0.9949,2.6352,1.3395,0.841,66.4,8.12,6.12,10.02
BATCH_0438,66.6,22.53,5.73,3.75,0.9199,2.3782,1.5297,1.253,49.26,27.44,8.85,11.4
BATCH_0439,67.36,21.42,6.01,3.48,0.9701,2.2557,1.7253,0.901,60.63,15.66,10.03,10.6
BATCH_0440,67.13,21.76,4.55,2.92,0.9831,2.9138,1.5564,0.3,70.11,9.49,7.11,8.89
BATCH_0441,65.87,20.83,3.56,3.31,1.0175,3.0316,1.0733,1.178,75.12,5.0,3.82,10.08
BATCH_0442,66.46,20.43,4.09,2.94,1.0381,2.9059,1.391,1.028,77.02,5.0,5.86,8.95
BATCH_0443,67.78,22.13,4.47,3.03,0.9782,2.9476,1.4737,0.659,69.38,11.1,6.72,9.23
BATCH_0444,66.21,19.66,4.93,3.95,1.0423,2.2143,1.2484,1.149,73.97,5.0,6.38,12.01
BATCH_0445,68.11,21.14,4.16,3.06,1.0292,2.9283,1.3628,1.263,77.71,5.0,5.87,9.3
BATCH_0446,69.29,22.85,4.98,3.76,0.957,2.6157,1.3236,0.869,64.39,16.94,6.83,11.44
BATCH_0447,66.77,21.58,5.6,4.03,0.9572,2.2412,1.3889,0.885,59.2,17.2,8.01,12.26
BATCH_0448,66.14,20.83,5.26,3.33,0.9901,2.4233,1.5788,0.979,65.28,10.47,8.3,10.14
BATCH_0449,67.83,19.9,5.4,3.38,1.0531,2.2671,1.5971,0.328,80.61,5.0,8.59,10.29
BATCH_0450,68.76,21.62,5.13,3.66,0.9953,2.4589,1.4017,0.3,72.92,6.98,7.41,11.14
BATCH_0451,66.93,21.09,5.24,3.4,0.991,2.4421,1.5402,0.33,68.84,8.53,8.12,10.34
BATCH_0452,66.38,20.09,5.03,2.98,1.0334,2.5092,1.6875,1.034,72.53,5.0,8.28,9.07
BATCH_0453,64.91,21.15,4.29,3.67,0.9725,2.6556,1.1705,1.155,62.72,13.31,5.17,11.16
BATCH_0454,66.69,21.42,5.87,2.85,0.9685,2.4569,2.0565,0.582,60.77,15.56,10.72,8.68
BATCH_0455,66.79,19.41,4.65,4.02,1.068,2.2372,1.1574,1.265,79.69,5.0,5.53,12.24
BATCH_0456,65.54,20.22,4.1,2.9,1.0334,2.8891,1.417,1.005,75.5,5.0,5.97,8.81
BATCH_0457,66.04,18.63,5.1,3.0,1.0965,2.3009,1.6983,1.32,81.6,5.0,8.43,9.13
BATCH_0458,66.36,22.04,5.39,3.32,0.9436,2.5312,1.6241,0.528,57.81,19.57,8.67,10.1
BATCH_0459,66.35,22.63,4.62,3.16,0.9351,2.9069,1.4637,0.486,58.07,21.06,6.91,9.61
BATCH_0460,67.25,21.34,4.79,3.6,0.9913,2.5436,1.3288,1.095,67.88,9.97,6.59,10.96
BATCH_0461,64.41,21.6,6.01,3.17,0.9233,2.3509,1.8954,1.151,47.1,26.4,10.57,9.66
BATCH_0462,65.75,20.41,5.58,2.92,1.0001,2.4012,1.9128,0.3,68.16,7.1,9.85,8.88
BATCH_0463,68.41,22.1,5.27,3.22,0.9732,2.6029,1.6378,0.3,66.8,12.97,8.52,9.8
BATCH_0464,66.97,21.72,5.14,2.75,0.9742,2.755,1.8701,1.381,61.76,15.67,8.96,8.36
BATCH_0465,63.3,20.46,4.46,3.34,0.9766,2.6223,1.3333,0.764,62.61,11.42,6.16,10.18
BATCH_0466,67.26,21.11,4.45,3.17,1.0112,2.77,1.4008,0.826,73.56,5.04,6.41,9.66
BATCH_0467,66.18,21.91,4.89,3.18,0.9549,2.7125,1.5368,1.14,58.66,18.57,7.58,9.69
BATCH_0468,67.45,21.34,4.09,3.19,1.011,2.9316,1.2825,0.745,75.35,5.0,5.44,9.7
BATCH_0469,68.57,19.46,5.64,3.27,1.0819,2.1862,1.7261,0.645,84.51,5.0,9.41,9.94
BATCH_0470,67.15,20.9,5.22,3.0,1.0062,2.5403,1.7384,0.95,69.73,7.31,8.76,9.14
BATCH_0471,65.63,21.33,4.9,2.79,0.9733,2.7749,1.7594,0.799,63.08,13.58,8.28,8.48
